term	name
GO:1902336	positive regulation of retinal ganglion cell axon guidance
GO:1902378	VEGF-activated neuropilin signaling pathway involved in axon guidance
GO:1902946	protein localization to early endosome
GO:1903375	facioacoustic ganglion development
GO:1904835	dorsal root ganglion morphogenesis
GO:1905040	otic placode development
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway
GO:0005021	vascular endothelial growth factor receptor activity
GO:0017154	semaphorin receptor activity
GO:0038085	vascular endothelial growth factor binding
GO:0005883	neurofilament
GO:0097443	sorting endosome
GO:0031507	heterochromatin formation
GO:0032967	positive regulation of collagen biosynthetic process
GO:0032968	positive regulation of transcription elongation by RNA polymerase II
GO:0045739	positive regulation of DNA repair
GO:0048733	sebaceous gland development
GO:0035102	PRC1 complex
GO:0052856	NAD(P)HX epimerase activity
GO:0044297	cell body
GO:0015171	amino acid transmembrane transporter activity
GO:0044306	neuron projection terminus
GO:0002576	platelet degranulation
GO:0006855	xenobiotic transmembrane transport
GO:0015721	bile acid and bile salt transport
GO:0015732	prostaglandin transport
GO:0031154	culmination involved in sorocarp development
GO:0031288	sorocarp morphogenesis
GO:0038183	bile acid signaling pathway
GO:0048661	positive regulation of smooth muscle cell proliferation
GO:0070730	cAMP transport
GO:0071716	leukotriene transport
GO:0140115	export across plasma membrane
GO:0001409	guanine nucleotide transmembrane transporter activity
GO:0015132	prostaglandin transmembrane transporter activity
GO:0015143	urate transmembrane transporter activity
GO:0015431	ABC-type glutathione S-conjugate transporter activity
GO:0015432	ABC-type bile acid transporter activity
GO:0015562	efflux transmembrane transporter activity
GO:0034634	glutathione transmembrane transporter activity
GO:0043225	ATPase-coupled inorganic anion transmembrane transporter activity
GO:0031088	platelet dense granule membrane
GO:0098591	external side of apical plasma membrane
GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0032873	negative regulation of stress-activated MAPK cascade
GO:0045937	positive regulation of phosphate metabolic process
GO:0051254	positive regulation of RNA metabolic process
GO:0043124	negative regulation of canonical NF-kappaB signal transduction
GO:0003406	retinal pigment epithelium development
GO:0022037	metencephalon development
GO:0042472	inner ear morphogenesis
GO:0042706	eye photoreceptor cell fate commitment
GO:0048852	diencephalon morphogenesis
GO:0060875	lateral semicircular canal development
GO:0030041	actin filament polymerization
GO:0014911	positive regulation of smooth muscle cell migration
GO:0036120	cellular response to platelet-derived growth factor stimulus
GO:0070358	actin polymerization-dependent cell motility
GO:0070528	protein kinase C signaling
GO:0071803	positive regulation of podosome assembly
GO:0072752	cellular response to rapamycin
GO:1900026	positive regulation of substrate adhesion-dependent cell spreading
GO:2000814	positive regulation of barbed-end actin filament capping
GO:0035254	glutamate receptor binding
GO:0031941	filamentous actin
GO:0036195	muscle cell projection membrane
GO:0043679	axon terminus
GO:0061826	podosome ring
GO:0061834	actin filament branch point
GO:0061835	ventral surface of cell
GO:0090725	peripheral region of growth cone
GO:0097440	apical dendrite
GO:0004605	phosphatidate cytidylyltransferase activity
GO:0006661	phosphatidylinositol biosynthetic process
GO:0016024	CDP-diacylglycerol biosynthetic process
GO:0045600	positive regulation of fat cell differentiation
GO:0140042	lipid droplet formation
GO:0004142	diacylglycerol cholinephosphotransferase activity
GO:0001890	placenta development
GO:0035581	sequestering of extracellular ligand from receptor
GO:0051094	positive regulation of developmental process
GO:0071694	maintenance of protein location in extracellular region
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090287	regulation of cellular response to growth factor stimulus
GO:1901163	regulation of trophoblast cell migration
GO:0030023	extracellular matrix constituent conferring elasticity
GO:0021782	glial cell development
GO:0042552	myelination
GO:0048812	neuron projection morphogenesis
GO:0099612	protein localization to axon
GO:0005918	septate junction
GO:0048786	presynaptic active zone
GO:0009792	embryo development ending in birth or egg hatching
GO:0051082	unfolded protein binding
GO:0070274	RES complex
GO:0071005	U2-type precatalytic spliceosome
GO:0032989	cellular anatomical entity morphogenesis
GO:0034330	cell junction organization
GO:0044093	positive regulation of molecular function
GO:0036094	small molecule binding
GO:0031573	mitotic intra-S DNA damage checkpoint signaling
GO:1901990	regulation of mitotic cell cycle phase transition
GO:2000772	regulation of cellular senescence
GO:0030145	manganese ion binding
GO:0009944	polarity specification of adaxial/abaxial axis
GO:0016226	iron-sulfur cluster assembly
GO:1990067	intrachromosomal DNA recombination
GO:0010209	vacuolar sorting signal binding
GO:0071817	MMXD complex
GO:0097361	cytosolic [4Fe-4S] assembly targeting complex
GO:0071821	FANCM-MHF complex
GO:0031297	replication fork processing
GO:0051725	protein de-ADP-ribosylation
GO:2000785	regulation of autophagosome assembly
GO:0003875	ADP-ribosylarginine hydrolase activity
GO:0030955	potassium ion binding
GO:0055120	striated muscle dense body
GO:0000302	response to reactive oxygen species
GO:0038060	nitric oxide-cGMP-mediated signaling
GO:0019826	oxygen sensor activity
GO:0070025	carbon monoxide binding
GO:0070026	nitric oxide binding
GO:0008074	guanylate cyclase complex, soluble
GO:0090141	positive regulation of mitochondrial fission
GO:0051020	GTPase binding
GO:0006911	phagocytosis, engulfment
GO:0010744	positive regulation of macrophage derived foam cell differentiation
GO:0010886	positive regulation of cholesterol storage
GO:0034381	plasma lipoprotein particle clearance
GO:0042953	lipoprotein transport
GO:0097242	amyloid-beta clearance
GO:0030169	low-density lipoprotein particle binding
GO:0038024	cargo receptor activity
GO:0016209	antioxidant activity
GO:0006621	protein retention in ER lumen
GO:0031630	regulation of synaptic vesicle fusion to presynaptic active zone membrane
GO:0035249	synaptic transmission, glutamatergic
GO:0043113	receptor clustering
GO:0043525	positive regulation of neuron apoptotic process
GO:0050965	detection of temperature stimulus involved in sensory perception of pain
GO:0060079	excitatory postsynaptic potential
GO:0120169	detection of cold stimulus involved in thermoception
GO:0015277	kainate selective glutamate receptor activity
GO:0017124	SH3 domain binding
GO:0032983	kainate selective glutamate receptor complex
GO:0043195	terminal bouton
GO:0015986	proton motive force-driven ATP synthesis
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
GO:0042776	proton motive force-driven mitochondrial ATP synthesis
GO:0046789	host cell surface receptor binding
GO:0044647	host-symbiont bicellular tight junction
GO:1990225	rhoptry neck
GO:0044829	positive regulation by host of viral genome replication
GO:0048524	positive regulation of viral process
GO:0007079	mitotic chromosome movement towards spindle pole
GO:0032888	regulation of mitotic spindle elongation
GO:0060404	axonemal microtubule depolymerization
GO:0070462	plus-end specific microtubule depolymerization
GO:0099607	lateral attachment of mitotic spindle microtubules to kinetochore
GO:0140210	protein transport along microtubule to kinetochore
GO:1902426	deactivation of mitotic spindle assembly checkpoint
GO:1903475	mitotic actomyosin contractile ring assembly
GO:1990758	mitotic sister chromatid biorientation
GO:1990942	mitotic metaphase chromosome recapture
GO:0005873	plus-end kinesin complex
GO:0016938	kinesin I complex
GO:0055028	cortical microtubule
GO:0061673	mitotic spindle astral microtubule
GO:1990023	mitotic spindle midzone
GO:1990295	post-anaphase microtubule array
GO:0009791	post-embryonic development
GO:0014819	regulation of skeletal muscle contraction
GO:0021540	corpus callosum morphogenesis
GO:0021678	third ventricle development
GO:0036343	psychomotor behavior
GO:0048593	camera-type eye morphogenesis
GO:0016139	glycoside catabolic process
GO:2000535	regulation of entry of bacterium into host cell
GO:0035578	azurophil granule lumen
GO:0001696	gastric acid secretion
GO:0014048	regulation of glutamate secretion
GO:0014052	regulation of gamma-aminobutyric acid secretion
GO:0014056	regulation of acetylcholine secretion, neurotransmission
GO:0050433	regulation of catecholamine secretion
GO:0051956	negative regulation of amino acid transport
GO:0051957	positive regulation of amino acid transport
GO:1903531	negative regulation of secretion by cell
GO:1903532	positive regulation of secretion by cell
GO:1903792	negative regulation of monoatomic anion transport
GO:1903793	positive regulation of monoatomic anion transport
GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly
GO:0006879	intracellular iron ion homeostasis
GO:0007042	lysosomal lumen acidification
GO:0036295	cellular response to increased oxygen levels
GO:1905146	lysosomal protein catabolic process
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0035646	endosome to melanosome transport
GO:0072657	protein localization to membrane
GO:0090383	phagosome acidification
GO:1903232	melanosome assembly
GO:0030742	GTP-dependent protein binding
GO:0035650	AP-1 adaptor complex binding
GO:0035651	AP-3 adaptor complex binding
GO:0036461	BLOC-2 complex binding
GO:0033162	melanosome membrane
GO:0071352	cellular response to interleukin-2
GO:0051721	protein phosphatase 2A binding
GO:0009249	protein lipoylation
GO:0015760	glucose-6-phosphate transport
GO:0019637	organophosphate metabolic process
GO:0035435	phosphate ion transmembrane transport
GO:0090382	phagosome maturation
GO:1901135	carbohydrate derivative metabolic process
GO:0061513	glucose 6-phosphate:phosphate antiporter activity
GO:1904158	axonemal central apparatus assembly
GO:1990716	axonemal central apparatus
GO:0051256	mitotic spindle midzone assembly
GO:0070938	contractile ring
GO:0051649	establishment of localization in cell
GO:0090660	cerebrospinal fluid circulation
GO:1990756	ubiquitin-like ligase-substrate adaptor activity
GO:0042448	progesterone metabolic process
GO:0071357	cellular response to type I interferon
GO:0050649	testosterone 6-beta-hydroxylase activity
GO:0001993	regulation of systemic arterial blood pressure by norepinephrine-epinephrine
GO:0010959	regulation of metal ion transport
GO:0006942	regulation of striated muscle contraction
GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
GO:0019853	L-ascorbic acid biosynthetic process
GO:0042178	xenobiotic catabolic process
GO:0046148	pigment biosynthetic process
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity
GO:0060316	positive regulation of ryanodine-sensitive calcium-release channel activity
GO:0071243	cellular response to arsenic-containing substance
GO:0045174	glutathione dehydrogenase (ascorbate) activity
GO:0051823	regulation of synapse structural plasticity
GO:1905923	positive regulation of acetylcholine biosynthetic process
GO:0070485	dehydro-D-arabinono-1,4-lactone biosynthetic process
GO:0031966	mitochondrial membrane
GO:0018095	protein polyglutamylation
GO:0060041	retina development in camera-type eye
GO:0070740	tubulin-glutamic acid ligase activity
GO:0030590	first cell cycle pseudocleavage
GO:0043171	peptide catabolic process
GO:0046662	regulation of egg-laying behavior
GO:0071456	cellular response to hypoxia
GO:1900195	positive regulation of oocyte maturation
GO:1903538	regulation of meiotic cell cycle process involved in oocyte maturation
GO:1990947	exit from meiosis
GO:0070006	metalloaminopeptidase activity
GO:0000793	condensed chromosome
GO:0006091	generation of precursor metabolites and energy
GO:0015020	glucuronosyltransferase activity
GO:0048259	regulation of receptor-mediated endocytosis
GO:0048599	oocyte development
GO:1904748	regulation of apoptotic process involved in development
GO:0003146	heart jogging
GO:0009908	flower development
GO:0009933	meristem structural organization
GO:0010087	phloem or xylem histogenesis
GO:0010305	leaf vascular tissue pattern formation
GO:0010588	cotyledon vascular tissue pattern formation
GO:0022613	ribonucleoprotein complex biogenesis
GO:0034087	establishment of mitotic sister chromatid cohesion
GO:0035118	embryonic pectoral fin morphogenesis
GO:0048528	post-embryonic root development
GO:0048565	digestive tract development
GO:0048589	developmental growth
GO:0048703	embryonic viscerocranium morphogenesis
GO:0071169	establishment of protein localization to chromatin
GO:1990414	replication-born double-strand break repair via sister chromatid exchange
GO:0090694	Scc2-Scc4 cohesin loading complex
GO:0097525	spliceosomal snRNP complex
GO:0070259	tyrosyl-DNA phosphodiesterase activity
GO:0120094	negative regulation of peptidyl-lysine crotonylation
GO:0004165	delta(3)-delta(2)-enoyl-CoA isomerase activity
GO:0120092	crotonyl-CoA hydratase activity
GO:0005782	peroxisomal matrix
GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator
GO:0071006	U2-type catalytic step 1 spliceosome
GO:0019310	inositol catabolic process
GO:0050113	inositol oxygenase activity
GO:0009992	intracellular water homeostasis
GO:0004033	aldo-keto reductase (NADPH) activity
GO:0008199	ferric iron binding
GO:0016651	oxidoreductase activity, acting on NAD(P)H
GO:0016234	inclusion body
GO:0021670	lateral ventricle development
GO:0033605	positive regulation of catecholamine secretion
GO:0042311	vasodilation
GO:1903305	regulation of regulated secretory pathway
GO:0005658	alpha DNA polymerase:primase complex
GO:0006434	seryl-tRNA aminoacylation
GO:0004828	serine-tRNA ligase activity
GO:1904046	negative regulation of vascular endothelial growth factor production
GO:0070121	Kupffer's vesicle development
GO:0097500	receptor localization to non-motile cilium
GO:0007519	skeletal muscle tissue development
GO:0014902	myotube differentiation
GO:0007416	synapse assembly
GO:0010558	negative regulation of macromolecule biosynthetic process
GO:0032204	regulation of telomere maintenance
GO:0043488	regulation of mRNA stability
GO:0045727	positive regulation of translation
GO:0070887	cellular response to chemical stimulus
GO:1901698	response to nitrogen compound
GO:1902373	negative regulation of mRNA catabolic process
GO:0140513	nuclear protein-containing complex
GO:0001556	oocyte maturation
GO:0008286	insulin receptor signaling pathway
GO:0038083	peptidyl-tyrosine autophosphorylation
GO:0043409	negative regulation of MAPK cascade
GO:0045056	transcytosis
GO:0046328	regulation of JNK cascade
GO:0048009	insulin-like growth factor receptor signaling pathway
GO:0050766	positive regulation of phagocytosis
GO:1901655	cellular response to ketone
GO:2000107	negative regulation of leukocyte apoptotic process
GO:0005010	insulin-like growth factor receptor activity
GO:0031994	insulin-like growth factor I binding
GO:0043548	phosphatidylinositol 3-kinase binding
GO:0043559	insulin binding
GO:0043560	insulin receptor substrate binding
GO:0140318	protein transporter activity
GO:0016028	rhabdomere
GO:0035867	alphav-beta3 integrin-IGF-1-IGF1R complex
GO:0003007	heart morphogenesis
GO:0003279	cardiac septum development
GO:0015934	large ribosomal subunit
GO:1902167	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
GO:1904803	regulation of translation involved in cellular response to UV
GO:0002088	lens development in camera-type eye
GO:0014042	positive regulation of neuron maturation
GO:0030278	regulation of ossification
GO:0030855	epithelial cell differentiation
GO:0045596	negative regulation of cell differentiation
GO:0050678	regulation of epithelial cell proliferation
GO:0060349	bone morphogenesis
GO:0060384	innervation
GO:0010975	regulation of neuron projection development
GO:0048705	skeletal system morphogenesis
GO:0051246	regulation of protein metabolic process
GO:0000578	embryonic axis specification
GO:0001710	mesodermal cell fate commitment
GO:0001756	somitogenesis
GO:0007398	ectoderm development
GO:0007492	endoderm development
GO:0014036	neural crest cell fate specification
GO:0021512	spinal cord anterior/posterior patterning
GO:0021854	hypothalamus development
GO:0021879	forebrain neuron differentiation
GO:0030903	notochord development
GO:0035284	brain segmentation
GO:0039015	cell proliferation involved in pronephros development
GO:0042074	cell migration involved in gastrulation
GO:0043049	otic placode formation
GO:0045743	positive regulation of fibroblast growth factor receptor signaling pathway
GO:0048263	determination of dorsal identity
GO:0060061	Spemann organizer formation
GO:0060898	eye field cell fate commitment involved in camera-type eye formation
GO:0062009	secondary palate development
GO:0070654	sensory epithelium regeneration
GO:2000044	negative regulation of cardiac cell fate specification
GO:2000742	regulation of anterior head development
GO:0048018	receptor ligand activity
GO:0097189	apoptotic body
GO:0006825	copper ion transport
GO:0006826	iron ion transport
GO:0007565	female pregnancy
GO:0007584	response to nutrient
GO:0046688	response to copper ion
GO:0060056	mammary gland involution
GO:0004322	ferroxidase activity
GO:0002250	adaptive immune response
GO:0009889	regulation of biosynthetic process
GO:0017156	calcium-ion regulated exocytosis
GO:0017157	regulation of exocytosis
GO:0030073	insulin secretion
GO:0032486	Rap protein signal transduction
GO:0034242	negative regulation of syncytium formation by plasma membrane fusion
GO:0046827	positive regulation of protein export from nucleus
GO:0051496	positive regulation of stress fiber assembly
GO:0060143	positive regulation of syncytium formation by plasma membrane fusion
GO:0061028	establishment of endothelial barrier
GO:0071320	cellular response to cAMP
GO:0098693	regulation of synaptic vesicle cycle
GO:1901985	positive regulation of protein acetylation
GO:0030552	cAMP binding
GO:0005902	microvillus
GO:0030175	filopodium
GO:0030864	cortical actin cytoskeleton
GO:0006850	mitochondrial pyruvate transmembrane transport
GO:0050833	pyruvate transmembrane transporter activity
GO:0022604	regulation of cell morphogenesis
GO:0031624	ubiquitin conjugating enzyme binding
GO:0016605	PML body
GO:0002119	nematode larval development
GO:0030473	nuclear migration along microtubule
GO:0035418	protein localization to synapse
GO:0040038	polar body extrusion after meiotic divisions
GO:0048489	synaptic vesicle transport
GO:0048675	axon extension
GO:0051295	establishment of meiotic spindle localization
GO:0007631	feeding behavior
GO:0043271	negative regulation of monoatomic ion transport
GO:0043279	response to alkaloid
GO:0050805	negative regulation of synaptic transmission
GO:0051048	negative regulation of secretion
GO:0051952	regulation of amine transport
GO:0004438	phosphatidylinositol-3-phosphate phosphatase activity
GO:0034593	phosphatidylinositol bisphosphate phosphatase activity
GO:0043812	phosphatidylinositol-4-phosphate phosphatase activity
GO:0032281	AMPA glutamate receptor complex
GO:0140268	endoplasmic reticulum-plasma membrane contact site
GO:1902018	negative regulation of cilium assembly
GO:0040026	positive regulation of vulval development
GO:0010312	detoxification of zinc ion
GO:0070455	positive regulation of heme biosynthetic process
GO:0140466	iron-sulfur cluster export from the mitochondrion
GO:1903331	positive regulation of iron-sulfur cluster assembly
GO:1990748	cellular detoxification
GO:0015232	heme transmembrane transporter activity
GO:0140481	ABC-type iron-sulfur cluster transporter activity
GO:0009268	response to pH
GO:0010632	regulation of epithelial cell migration
GO:0061580	colon epithelial cell migration
GO:0097065	anterior head development
GO:0003943	N-acetylgalactosamine-4-sulfatase activity
GO:0004065	arylsulfatase activity
GO:0005775	vacuolar lumen
GO:0005791	rough endoplasmic reticulum
GO:0007141	male meiosis I
GO:0071233	cellular response to L-leucine
GO:0070728	L-leucine binding
GO:0042030	ATPase inhibitor activity
GO:0051879	Hsp90 protein binding
GO:0101031	protein folding chaperone complex
GO:0005254	chloride channel activity
GO:0016917	GABA receptor activity
GO:0022824	transmitter-gated monoatomic ion channel activity
GO:0099095	ligand-gated monoatomic anion channel activity
GO:0021675	nerve development
GO:0061548	ganglion development
GO:0019897	extrinsic component of plasma membrane
GO:0007606	sensory perception of chemical stimulus
GO:0001709	cell fate determination
GO:0001837	epithelial to mesenchymal transition
GO:0007221	positive regulation of transcription of Notch receptor target
GO:0030097	hemopoiesis
GO:0030879	mammary gland development
GO:0045602	negative regulation of endothelial cell differentiation
GO:0060354	negative regulation of cell adhesion molecule production
GO:2000048	negative regulation of cell-cell adhesion mediated by cadherin
GO:0072534	perineuronal net
GO:0001974	blood vessel remodeling
GO:0001975	response to amphetamine
GO:0001987	vasoconstriction of artery involved in baroreceptor response to lowering of systemic arterial blood pressure
GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine
GO:0001997	positive regulation of the force of heart contraction by epinephrine-norepinephrine
GO:0007512	adult heart development
GO:0010754	negative regulation of cGMP-mediated signaling
GO:0043278	response to morphine
GO:0045818	negative regulation of glycogen catabolic process
GO:0045819	positive regulation of glycogen catabolic process
GO:0045906	negative regulation of vasoconstriction
GO:0046010	positive regulation of circadian sleep/wake cycle, non-REM sleep
GO:0046676	negative regulation of insulin secretion
GO:0048148	behavioral response to cocaine
GO:0051481	negative regulation of cytosolic calcium ion concentration
GO:0051970	negative regulation of transmission of nerve impulse
GO:0051971	positive regulation of transmission of nerve impulse
GO:0061049	cell growth involved in cardiac muscle cell development
GO:0098908	regulation of neuronal action potential
GO:0150099	neuron-glial cell signaling
GO:1902260	negative regulation of delayed rectifier potassium channel activity
GO:0004937	alpha1-adrenergic receptor activity
GO:0008502	melatonin receptor activity
GO:0098543	detection of other organism
GO:0014016	neuroblast differentiation
GO:0009416	response to light stimulus
GO:0071394	cellular response to testosterone stimulus
GO:0071774	response to fibroblast growth factor
GO:0017053	transcription repressor complex
GO:0032212	positive regulation of telomere maintenance via telomerase
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0070198	protein localization to chromosome, telomeric region
GO:0070212	protein poly-ADP-ribosylation
GO:0070213	protein auto-ADP-ribosylation
GO:1904355	positive regulation of telomere capping
GO:1904743	negative regulation of telomeric DNA binding
GO:1904908	negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric
GO:1990404	NAD+-protein mono-ADP-ribosyltransferase activity
GO:0000242	pericentriolar material
GO:0021510	spinal cord development
GO:0045724	positive regulation of cilium assembly
GO:0051093	negative regulation of developmental process
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors
GO:0042177	negative regulation of protein catabolic process
GO:1901837	negative regulation of transcription of nucleolar large rRNA by RNA polymerase I
GO:0060285	cilium-dependent cell motility
GO:0036156	inner dynein arm
GO:0003730	mRNA 3'-UTR binding
GO:0006940	regulation of smooth muscle contraction
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway
GO:0019229	regulation of vasoconstriction
GO:0030594	neurotransmitter receptor activity
GO:0032480	negative regulation of type I interferon production
GO:1900226	negative regulation of NLRP3 inflammasome complex assembly
GO:1901223	negative regulation of non-canonical NF-kappaB signal transduction
GO:0034451	centriolar satellite
GO:0036159	inner dynein arm assembly
GO:1905505	positive regulation of motile cilium assembly
GO:0044183	protein folding chaperone
GO:0120293	dynein axonemal particle
GO:0048545	response to steroid hormone
GO:0015693	magnesium ion transport
GO:0002064	epithelial cell development
GO:0021591	ventricular system development
GO:0060438	trachea development
GO:1990718	axonemal central pair projection
GO:0006779	porphyrin-containing compound biosynthetic process
GO:0004109	coproporphyrinogen oxidase activity
GO:0010039	response to iron ion
GO:0010288	response to lead ion
GO:0046685	response to arsenic-containing substance
GO:0005212	structural constituent of eye lens
GO:0005391	P-type sodium:potassium-exchanging transporter activity
GO:0005758	mitochondrial intermembrane space
GO:0009101	glycoprotein biosynthetic process
GO:0046486	glycerolipid metabolic process
GO:0010498	proteasomal protein catabolic process
GO:0019774	proteasome core complex, beta-subunit complex
GO:0015835	peptidoglycan transport
GO:0070293	renal absorption
GO:0070424	regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway
GO:0140206	dipeptide import across plasma membrane
GO:0140207	tripeptide import across plasma membrane
GO:0015333	peptide:proton symporter activity
GO:0015334	high-affinity oligopeptide transmembrane transporter activity
GO:0016248	channel inhibitor activity
GO:0042937	tripeptide transmembrane transporter activity
GO:0071916	dipeptide transmembrane transporter activity
GO:0004090	carbonyl reductase (NADPH) activity
GO:0010648	negative regulation of cell communication
GO:0016358	dendrite development
GO:0021549	cerebellum development
GO:0023057	negative regulation of signaling
GO:0034331	cell junction maintenance
GO:0048512	circadian behavior
GO:0048667	cell morphogenesis involved in neuron differentiation
GO:0015865	purine nucleotide transport
GO:0140352	export from cell
GO:0008514	organic anion transmembrane transporter activity
GO:0015216	purine nucleotide transmembrane transporter activity
GO:1901682	sulfur compound transmembrane transporter activity
GO:0006584	catecholamine metabolic process
GO:0046189	phenol-containing compound biosynthetic process
GO:0001964	startle response
GO:0008584	male gonad development
GO:0008585	female gonad development
GO:0035846	oviduct epithelium development
GO:0060745	mammary gland branching involved in pregnancy
GO:1990708	conditioned place preference
GO:0014894	response to denervation involved in regulation of muscle adaptation
GO:0045214	sarcomere organization
GO:0051258	protein polymerization
GO:1901341	positive regulation of store-operated calcium channel activity
GO:2001256	regulation of store-operated calcium entry
GO:0005790	smooth endoplasmic reticulum
GO:0014804	terminal cisterna lumen
GO:0030315	T-tubule
GO:0031674	I band
GO:0033017	sarcoplasmic reticulum membrane
GO:0032648	regulation of interferon-beta production
GO:0050688	regulation of defense response to virus
GO:0035631	CD40 receptor complex
GO:0009749	response to glucose
GO:0021766	hippocampus development
GO:0043434	response to peptide hormone
GO:0050852	T cell receptor signaling pathway
GO:0031369	translation initiation factor binding
GO:0005851	eukaryotic translation initiation factor 2B complex
GO:0000709	meiotic joint molecule formation
GO:0010774	meiotic strand invasion involved in reciprocal meiotic recombination
GO:0051026	chiasma assembly
GO:0065003	protein-containing complex assembly
GO:0030331	nuclear estrogen receptor binding
GO:0035259	nuclear glucocorticoid receptor binding
GO:0046966	nuclear thyroid hormone receptor binding
GO:0050681	nuclear androgen receptor binding
GO:0050692	DNA binding domain binding
GO:0120230	recombinase activator activity
GO:0120231	DNA recombinase auxiliary factor complex
GO:0010613	positive regulation of cardiac muscle hypertrophy
GO:0019934	cGMP-mediated signaling
GO:0046069	cGMP catabolic process
GO:0047555	3',5'-cyclic-GMP phosphodiesterase activity
GO:0042026	protein refolding
GO:0051085	chaperone cofactor-dependent protein refolding
GO:0051787	misfolded protein binding
GO:0007560	imaginal disc morphogenesis
GO:0009913	epidermal cell differentiation
GO:0035114	imaginal disc-derived appendage morphogenesis
GO:0035120	post-embryonic appendage morphogenesis
GO:0035220	wing disc development
GO:0035272	exocrine system development
GO:0072009	nephron epithelium development
GO:0051307	meiotic chromosome separation
GO:0006699	bile acid biosynthetic process
GO:0010890	positive regulation of triglyceride storage
GO:0015918	sterol transport
GO:0045444	fat cell differentiation
GO:0006402	mRNA catabolic process
GO:0140098	catalytic activity, acting on RNA
GO:0008483	transaminase activity
GO:0006103	2-oxoglutarate metabolic process
GO:0042851	L-alanine metabolic process
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity
GO:0010507	negative regulation of autophagy
GO:0070314	G1 to G0 transition
GO:0000338	protein deneddylation
GO:0051131	chaperone-mediated protein complex assembly
GO:0017090	meprin A complex
GO:0003018	vascular process in circulatory system
GO:0007168	receptor guanylyl cyclase signaling pathway
GO:0010753	positive regulation of cGMP-mediated signaling
GO:0042417	dopamine metabolic process
GO:0048662	negative regulation of smooth muscle cell proliferation
GO:0016941	natriuretic peptide receptor activity
GO:0017046	peptide hormone binding
GO:1990620	ANPR-A receptor complex
GO:0035609	C-terminal protein deglutamylation
GO:0050129	N-formylglutamate deformylase activity
GO:1904492	Ac-Asp-Glu binding
GO:1904493	tetrahydrofolyl-poly(glutamate) polymer binding
GO:0006429	leucyl-tRNA aminoacylation
GO:0004823	leucine-tRNA ligase activity
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0008361	regulation of cell size
GO:1904263	positive regulation of TORC1 signaling
GO:1990253	cellular response to leucine starvation
GO:0004819	glutamine-tRNA ligase activity
GO:0008016	regulation of heart contraction
GO:0030389	fructosamine metabolic process
GO:0003993	acid phosphatase activity
GO:0008090	retrograde axonal transport
GO:0031581	hemidesmosome assembly
GO:0001725	stress fiber
GO:0014704	intercalated disc
GO:0030018	Z disc
GO:0031673	H zone
GO:0035371	microtubule plus-end
GO:0045098	type III intermediate filament
GO:0097038	perinuclear endoplasmic reticulum
GO:0019827	stem cell population maintenance
GO:0060261	positive regulation of transcription initiation by RNA polymerase II
GO:0016592	mediator complex
GO:0070847	core mediator complex
GO:0003151	outflow tract morphogenesis
GO:0021861	forebrain radial glial cell differentiation
GO:0021983	pituitary gland development
GO:0030857	negative regulation of epithelial cell differentiation
GO:0035910	ascending aorta morphogenesis
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein
GO:0043388	positive regulation of DNA binding
GO:0043433	negative regulation of DNA-binding transcription factor activity
GO:0045165	cell fate commitment
GO:0045977	positive regulation of mitotic cell cycle, embryonic
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT
GO:0048505	regulation of timing of cell differentiation
GO:0048538	thymus development
GO:0048715	negative regulation of oligodendrocyte differentiation
GO:0060253	negative regulation of glial cell proliferation
GO:0060412	ventricular septum morphogenesis
GO:0061008	hepaticobiliary system development
GO:0061626	pharyngeal arch artery morphogenesis
GO:0071345	cellular response to cytokine stimulus
GO:0072078	nephron tubule morphogenesis
GO:0097084	vascular associated smooth muscle cell development
GO:0097150	neuronal stem cell population maintenance
GO:2000737	negative regulation of stem cell differentiation
GO:2000974	negative regulation of pro-B cell differentiation
GO:2000978	negative regulation of forebrain neuron differentiation
GO:2000981	negative regulation of inner ear receptor cell differentiation
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0042826	histone deacetylase binding
GO:0070888	E-box binding
GO:0071820	N-box binding
GO:0010105	negative regulation of ethylene-activated signaling pathway
GO:0022617	extracellular matrix disassembly
GO:0071801	regulation of podosome assembly
