gene	GO
LOC111324731	GO:0000003,GO:0000323,GO:0001669,GO:0001775,GO:0002080,GO:0002081,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0003824,GO:0004553,GO:0004560,GO:0005488,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005766,GO:0005773,GO:0005775,GO:0005783,GO:0005788,GO:0005886,GO:0005975,GO:0005996,GO:0006004,GO:0006022,GO:0006026,GO:0006027,GO:0006464,GO:0006629,GO:0006643,GO:0006664,GO:0006807,GO:0006810,GO:0006887,GO:0006950,GO:0006952,GO:0006955,GO:0007338,GO:0007339,GO:0008037,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009566,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0009988,GO:0012505,GO:0012506,GO:0015928,GO:0016020,GO:0016042,GO:0016137,GO:0016139,GO:0016192,GO:0016787,GO:0016798,GO:0019318,GO:0019377,GO:0019538,GO:0019953,GO:0022414,GO:0030141,GO:0030203,GO:0030246,GO:0030659,GO:0030667,GO:0031090,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032940,GO:0034774,GO:0035036,GO:0035578,GO:0036094,GO:0036211,GO:0036230,GO:0042119,GO:0042582,GO:0042742,GO:0042806,GO:0043170,GO:0043202,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0043412,GO:0043687,GO:0043900,GO:0043903,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045055,GO:0045321,GO:0046466,GO:0046903,GO:0048029,GO:0050789,GO:0050896,GO:0051179,GO:0051234,GO:0051704,GO:0051707,GO:0060205,GO:0065007,GO:0070013,GO:0071704,GO:0071944,GO:0097223,GO:0097524,GO:0097708,GO:0098542,GO:0098588,GO:0098589,GO:0098805,GO:0099503,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658,GO:1903509,GO:2000535
LOC111324732	GO:0000003,GO:0000932,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0003002,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006355,GO:0007163,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007338,GO:0007339,GO:0007389,GO:0007610,GO:0007617,GO:0007618,GO:0007620,GO:0008037,GO:0008069,GO:0008150,GO:0009566,GO:0009653,GO:0009798,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009950,GO:0009953,GO:0009966,GO:0009968,GO:0009987,GO:0009988,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0010648,GO:0016333,GO:0016334,GO:0019098,GO:0019219,GO:0019222,GO:0019953,GO:0022412,GO:0022414,GO:0023051,GO:0023057,GO:0030154,GO:0030707,GO:0030855,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031519,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0035036,GO:0035770,GO:0036464,GO:0040008,GO:0042592,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045570,GO:0045571,GO:0045893,GO:0045926,GO:0045935,GO:0046425,GO:0046426,GO:0046620,GO:0046621,GO:0048468,GO:0048477,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048609,GO:0048638,GO:0048640,GO:0048729,GO:0048856,GO:0048869,GO:0048872,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051171,GO:0051173,GO:0051239,GO:0051241,GO:0051252,GO:0051254,GO:0051704,GO:0060179,GO:0060255,GO:0060429,GO:0061484,GO:0065007,GO:0065008,GO:0080090,GO:1902531,GO:1902532,GO:1902680,GO:1903506,GO:1903508,GO:1904892,GO:1904893,GO:1990904,GO:2000026,GO:2000112,GO:2001141
LOC111324733	GO:0000413,GO:0001501,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005783,GO:0005788,GO:0005790,GO:0006457,GO:0006464,GO:0006807,GO:0006810,GO:0007275,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0012505,GO:0016018,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0019899,GO:0031647,GO:0031974,GO:0032501,GO:0032502,GO:0032991,GO:0033218,GO:0034663,GO:0035821,GO:0036211,GO:0040008,GO:0040014,GO:0040018,GO:0042277,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043900,GO:0043902,GO:0043903,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044788,GO:0044794,GO:0044827,GO:0044829,GO:0044877,GO:0045069,GO:0045070,GO:0045927,GO:0046907,GO:0048471,GO:0048513,GO:0048518,GO:0048524,GO:0048638,GO:0048639,GO:0048731,GO:0048856,GO:0050789,GO:0050792,GO:0050793,GO:0050821,GO:0051082,GO:0051094,GO:0051169,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051641,GO:0051649,GO:0051702,GO:0051704,GO:0051817,GO:0051851,GO:0060348,GO:0061077,GO:0065007,GO:0065008,GO:0070013,GO:0070063,GO:0071704,GO:0140096,GO:1901564,GO:1903900,GO:1903902
LOC111324734	GO:0003700,GO:0006355,GO:0008270,GO:0043565
LOC111324735	GO:0001666,GO:0003674,GO:0003824,GO:0004615,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006013,GO:0006139,GO:0006464,GO:0006486,GO:0006487,GO:0006605,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006950,GO:0008104,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009225,GO:0009226,GO:0009298,GO:0009628,GO:0009987,GO:0010033,GO:0015031,GO:0015833,GO:0016853,GO:0016866,GO:0016868,GO:0018130,GO:0019318,GO:0019438,GO:0019538,GO:0019673,GO:0033036,GO:0033365,GO:0033554,GO:0034097,GO:0034613,GO:0034641,GO:0034645,GO:0034654,GO:0036211,GO:0036293,GO:0036294,GO:0036477,GO:0042221,GO:0042886,GO:0043025,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044297,GO:0044424,GO:0044444,GO:0044464,GO:0045047,GO:0045184,GO:0046483,GO:0046907,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0055086,GO:0070085,GO:0070482,GO:0070727,GO:0070887,GO:0070972,GO:0071310,GO:0071345,GO:0071453,GO:0071456,GO:0071702,GO:0071704,GO:0071705,GO:0072594,GO:0072599,GO:0097458,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1990823,GO:1990830
LOC111324736	GO:0004930,GO:0007186,GO:0016020
LOC111324737	GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005272,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015078,GO:0015081,GO:0015252,GO:0015267,GO:0015276,GO:0015280,GO:0015318,GO:0015672,GO:0016020,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0022890,GO:0030001,GO:0034220,GO:0035725,GO:0044464,GO:0044736,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0099094,GO:1902600
LOC111324738	GO:0002791,GO:0002793,GO:0003008,GO:0003674,GO:0005215,GO:0005216,GO:0005227,GO:0005229,GO:0005244,GO:0005247,GO:0005253,GO:0005254,GO:0005261,GO:0005319,GO:0005488,GO:0005515,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005886,GO:0005929,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006821,GO:0006869,GO:0006950,GO:0006952,GO:0007009,GO:0007154,GO:0007165,GO:0007186,GO:0007200,GO:0007275,GO:0007600,GO:0008150,GO:0008308,GO:0008324,GO:0008509,GO:0009266,GO:0009408,GO:0009581,GO:0009582,GO:0009605,GO:0009607,GO:0009612,GO:0009617,GO:0009628,GO:0009897,GO:0009986,GO:0009987,GO:0010256,GO:0010646,GO:0010647,GO:0010817,GO:0010876,GO:0015075,GO:0015103,GO:0015108,GO:0015111,GO:0015267,GO:0015318,GO:0015698,GO:0015705,GO:0015711,GO:0015748,GO:0015914,GO:0016020,GO:0016043,GO:0016048,GO:0016324,GO:0017121,GO:0017128,GO:0019233,GO:0022803,GO:0022832,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0022890,GO:0023051,GO:0023052,GO:0023056,GO:0031974,GO:0031981,GO:0031982,GO:0032024,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0033036,GO:0033554,GO:0034220,GO:0034605,GO:0035774,GO:0042391,GO:0042742,GO:0042802,GO:0042803,GO:0042995,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044446,GO:0044459,GO:0044464,GO:0045177,GO:0046883,GO:0046887,GO:0046982,GO:0046983,GO:0048513,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048731,GO:0048856,GO:0050708,GO:0050714,GO:0050789,GO:0050794,GO:0050796,GO:0050829,GO:0050877,GO:0050896,GO:0050906,GO:0050951,GO:0050961,GO:0050965,GO:0050982,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051606,GO:0051704,GO:0051707,GO:0051716,GO:0055085,GO:0060341,GO:0060438,GO:0060541,GO:0061024,GO:0061178,GO:0061588,GO:0061590,GO:0061591,GO:0061778,GO:0065007,GO:0065008,GO:0070013,GO:0070201,GO:0071702,GO:0071840,GO:0071944,GO:0090087,GO:0090276,GO:0090277,GO:0097035,GO:0097603,GO:0097730,GO:0098542,GO:0098552,GO:0098590,GO:0098655,GO:0098656,GO:0098660,GO:0098661,GO:0120025,GO:1902476,GO:1903530,GO:1903532,GO:1904951
LOC111324739	GO:0000122,GO:0000375,GO:0000377,GO:0000380,GO:0000381,GO:0000398,GO:0000956,GO:0001837,GO:0002376,GO:0002682,GO:0002697,GO:0002831,GO:0003674,GO:0003676,GO:0003682,GO:0003712,GO:0003713,GO:0003723,GO:0003724,GO:0003729,GO:0003730,GO:0003824,GO:0004004,GO:0004386,GO:0005102,GO:0005488,GO:0005515,GO:0005516,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005681,GO:0005694,GO:0005700,GO:0005703,GO:0005730,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0006915,GO:0006955,GO:0006959,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007275,GO:0007623,GO:0008026,GO:0008134,GO:0008150,GO:0008152,GO:0008186,GO:0008219,GO:0008380,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009299,GO:0009605,GO:0009607,GO:0009719,GO:0009725,GO:0009755,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010501,GO:0010556,GO:0010557,GO:0010558,GO:0010586,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0010646,GO:0010647,GO:0012501,GO:0014070,GO:0016049,GO:0016070,GO:0016071,GO:0016202,GO:0016246,GO:0016441,GO:0016458,GO:0016462,GO:0016604,GO:0016607,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019730,GO:0019899,GO:0019904,GO:0023051,GO:0023052,GO:0023056,GO:0030154,GO:0030278,GO:0030509,GO:0030518,GO:0030520,GO:0030521,GO:0030522,GO:0031047,GO:0031050,GO:0031054,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031347,GO:0031974,GO:0031981,GO:0032101,GO:0032386,GO:0032501,GO:0032502,GO:0032774,GO:0032870,GO:0032879,GO:0032880,GO:0032991,GO:0033143,GO:0033157,GO:0033158,GO:0033993,GO:0034470,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0034660,GO:0035194,GO:0035195,GO:0035196,GO:0035257,GO:0035258,GO:0035500,GO:0035556,GO:0035770,GO:0036002,GO:0040007,GO:0040029,GO:0042221,GO:0042306,GO:0042623,GO:0043021,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043331,GO:0043401,GO:0043484,GO:0043516,GO:0043517,GO:0043900,GO:0043903,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044877,GO:0045069,GO:0045445,GO:0045595,GO:0045667,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046332,GO:0046483,GO:0046700,GO:0046822,GO:0048024,GO:0048306,GO:0048511,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048584,GO:0048634,GO:0048641,GO:0048731,GO:0048762,GO:0048856,GO:0048869,GO:0050681,GO:0050684,GO:0050688,GO:0050789,GO:0050792,GO:0050793,GO:0050794,GO:0050896,GO:0051049,GO:0051171,GO:0051172,GO:0051173,GO:0051223,GO:0051239,GO:0051252,GO:0051253,GO:0051254,GO:0051427,GO:0051704,GO:0051707,GO:0051716,GO:0060147,GO:0060148,GO:0060255,GO:0060341,GO:0060485,GO:0060765,GO:0060964,GO:0060966,GO:0060968,GO:0061061,GO:0061614,GO:0065007,GO:0070013,GO:0070035,GO:0070201,GO:0070412,GO:0070848,GO:0070878,GO:0070887,GO:0070918,GO:0070920,GO:0071013,GO:0071310,GO:0071359,GO:0071363,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0071704,GO:0071772,GO:0071773,GO:0072331,GO:0072332,GO:0080090,GO:0080134,GO:0080135,GO:0090087,GO:0090304,GO:0097159,GO:0097190,GO:0097193,GO:0097659,GO:0098687,GO:0140098,GO:0140110,GO:1900180,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901575,GO:1901576,GO:1901698,GO:1901699,GO:1901796,GO:1901798,GO:1901861,GO:1902494,GO:1902531,GO:1902533,GO:1902679,GO:1902680,GO:1903311,GO:1903506,GO:1903507,GO:1903508,GO:1903798,GO:1903800,GO:1903827,GO:1903900,GO:1904589,GO:1990841,GO:1990904,GO:2000026,GO:2000112,GO:2000113,GO:2000637,GO:2001014,GO:2001020,GO:2001022,GO:2001141
LOC111324740	GO:0003674,GO:0005215,GO:0005216,GO:0005229,GO:0005253,GO:0005254,GO:0005319,GO:0005548,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006821,GO:0006869,GO:0007009,GO:0008150,GO:0008509,GO:0009266,GO:0009581,GO:0009582,GO:0009605,GO:0009612,GO:0009628,GO:0009987,GO:0010256,GO:0010876,GO:0015075,GO:0015103,GO:0015108,GO:0015267,GO:0015318,GO:0015698,GO:0015711,GO:0015748,GO:0015914,GO:0016020,GO:0016043,GO:0016048,GO:0017121,GO:0017128,GO:0022803,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0033036,GO:0034220,GO:0044464,GO:0046983,GO:0050896,GO:0050982,GO:0051179,GO:0051234,GO:0051606,GO:0055085,GO:0061024,GO:0061588,GO:0061590,GO:0061591,GO:0061778,GO:0065007,GO:0065008,GO:0071702,GO:0071840,GO:0071944,GO:0097035,GO:0098656,GO:0098660,GO:0098661,GO:1902476
LOC111324742	
LOC111324743	GO:0005432,GO:0007154,GO:0015491,GO:0016020,GO:0030001,GO:0030424,GO:0035725,GO:0042383,GO:0055085,GO:0098703,GO:0098794
LOC111324744	GO:0000976,GO:0000977,GO:0000978,GO:0000987,GO:0000993,GO:0001012,GO:0001067,GO:0001098,GO:0001099,GO:0001161,GO:0001162,GO:0001932,GO:0001933,GO:0001934,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006355,GO:0006357,GO:0006464,GO:0006469,GO:0006479,GO:0006807,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009410,GO:0009719,GO:0009725,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010557,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010628,GO:0014070,GO:0014902,GO:0014904,GO:0016043,GO:0016278,GO:0016279,GO:0016569,GO:0016570,GO:0016571,GO:0016740,GO:0016741,GO:0018022,GO:0018024,GO:0018193,GO:0018205,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0022607,GO:0030154,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031400,GO:0031401,GO:0031497,GO:0031960,GO:0031974,GO:0031981,GO:0032259,GO:0032268,GO:0032269,GO:0032270,GO:0032502,GO:0032870,GO:0033036,GO:0033135,GO:0033138,GO:0033673,GO:0033993,GO:0034622,GO:0034728,GO:0034968,GO:0035690,GO:0036211,GO:0042054,GO:0042221,GO:0042325,GO:0042326,GO:0042327,GO:0042493,GO:0042692,GO:0043086,GO:0043170,GO:0043175,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043414,GO:0043549,GO:0043565,GO:0043933,GO:0044085,GO:0044092,GO:0044212,GO:0044213,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0045184,GO:0045859,GO:0045893,GO:0045935,GO:0045936,GO:0045937,GO:0045944,GO:0048468,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051146,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051276,GO:0051338,GO:0051348,GO:0051384,GO:0051716,GO:0055001,GO:0055002,GO:0060255,GO:0061061,GO:0065003,GO:0065004,GO:0065007,GO:0065009,GO:0070013,GO:0070063,GO:0070887,GO:0071103,GO:0071310,GO:0071383,GO:0071384,GO:0071385,GO:0071396,GO:0071407,GO:0071466,GO:0071495,GO:0071548,GO:0071549,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0097159,GO:0097327,GO:0140096,GO:1901363,GO:1901564,GO:1901654,GO:1901655,GO:1901700,GO:1901701,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141
LOC111324745	
LOC111324747	GO:0000978,GO:0000981,GO:0006357
LOC111324748	
LOC111324749	GO:0000976,GO:0001013,GO:0001042,GO:0001046,GO:0001047,GO:0001067,GO:0001163,GO:0001164,GO:0001181,GO:0001188,GO:0001701,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006356,GO:0006360,GO:0006361,GO:0006725,GO:0006807,GO:0006996,GO:0006997,GO:0007000,GO:0007028,GO:0007275,GO:0007399,GO:0008150,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009303,GO:0009790,GO:0009792,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0010648,GO:0010720,GO:0010941,GO:0010975,GO:0010976,GO:0016043,GO:0016070,GO:0016072,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019827,GO:0019899,GO:0022008,GO:0022607,GO:0022613,GO:0023051,GO:0023057,GO:0030154,GO:0030718,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031346,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032774,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0034660,GO:0036099,GO:0042254,GO:0042592,GO:0042790,GO:0042981,GO:0043009,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043175,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043254,GO:0043565,GO:0043933,GO:0044085,GO:0044087,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050767,GO:0050769,GO:0050789,GO:0050793,GO:0050794,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051239,GO:0051240,GO:0051252,GO:0051254,GO:0051960,GO:0051962,GO:0060255,GO:0060284,GO:0060548,GO:0065003,GO:0065004,GO:0065007,GO:0065008,GO:0070013,GO:0070063,GO:0070897,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0098727,GO:0098781,GO:0120035,GO:0140110,GO:0140223,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901796,GO:1901797,GO:1902253,GO:1902254,GO:1902531,GO:1902532,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000026,GO:2000112,GO:2000142,GO:2001141,GO:2001233,GO:2001234,GO:2001242,GO:2001243
