NCBI GeneID	Symbol	Description	Gene Type	Annotation Genomic Range Accession 	SwissProt Accessions
111319347	LOC111319347	apoptosis-resistant E3 ubiquitin protein ligase 1-like	PROTEIN_CODING	NW_019217802.1	
111319356	LOC111319356	sphingolipid delta(4)-desaturase DES1-like	PROTEIN_CODING	NW_019217802.1	
111319361	LOC111319361	contactin-associated protein-like 2	PROTEIN_CODING	NW_019219802.1	
111319391	LOC111319391	poly [ADP-ribose] polymerase 14-like	PROTEIN_CODING	NW_019219821.1	
111319392	LOC111319392	mediator of RNA polymerase II transcription subunit 34-like	PROTEIN_CODING	NW_019219822.1	
111319401	LOC111319401	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019219832.1	
111319402	LOC111319402	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019219832.1	
111319406	LOC111319406	melatonin receptor type 1B-like	PROTEIN_CODING	NW_019219838.1	
111319414	LOC111319414	vascular endothelial growth factor receptor 1-like	PROTEIN_CODING	NW_019219842.1	
111319422	LOC111319422	BTB/POZ domain-containing protein 6-like	PROTEIN_CODING	NW_019217802.1	
111319424	LOC111319424	uncharacterized LOC111319424	PROTEIN_CODING	NW_019219855.1	
111319434	LOC111319434	ATP synthase subunit beta-like	PROTEIN_CODING	NW_019219871.1	
111319443	LOC111319443	short transient receptor potential channel 4-like	PROTEIN_CODING	NW_019219884.1	
111319456	LOC111319456	hydroxypyruvate reductase-like	PROTEIN_CODING	NW_019219895.1	
111319469	LOC111319469	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019217802.1	
111319490	LOC111319490	nucleoporin GLE1-like	PROTEIN_CODING	NW_019217802.1	
111319493	LOC111319493	hydroxymethylglutaryl-CoA synthase, cytoplasmic-like	PROTEIN_CODING	NW_019219948.1	
111319497	LOC111319497	delta-like protein 4	PROTEIN_CODING	NW_019219957.1	
111319500	LOC111319500	mitochondrial intermediate peptidase-like	PROTEIN_CODING	NW_019217802.1	
111319503	LOC111319503	DNA-directed RNA polymerase II subunit RPB1-like	PROTEIN_CODING	NW_019219965.1	
111319518	LOC111319518	uncharacterized LOC111319518	PROTEIN_CODING	NW_019219981.1	
111319521	LOC111319521	dopamine D2-like receptor	PROTEIN_CODING	NW_019219989.1	
111319523	LOC111319523	peptidyl-prolyl cis-trans isomerase-like	PROTEIN_CODING	NW_019217802.1	
111319530	LOC111319530	putative protein TPRXL	PROTEIN_CODING	NW_019219998.1	
111319539	LOC111319539	tyrosine kinase receptor Cad96Ca-like	PROTEIN_CODING	NW_019220011.1	
111319545	LOC111319545	uncharacterized LOC111319545	PROTEIN_CODING	NW_019220017.1	
111319549	LOC111319549	manganese-transporting ATPase 13A1-like	PROTEIN_CODING	NW_019220026.1	
111319558	LOC111319558	uncharacterized LOC111319558	PROTEIN_CODING	NW_019217802.1	
111319571	LOC111319571	uncharacterized LOC111319571	PROTEIN_CODING	NW_019220056.1	
111319584	LOC111319584	chymotrypsinogen A-like	PROTEIN_CODING	NW_019220077.1	
111319593	LOC111319593	endothelin-converting enzyme homolog	PROTEIN_CODING	NW_019220088.1	
111319594	LOC111319594	polycystin-2-like	PROTEIN_CODING	NW_019220089.1	
111319595	LOC111319595	platelet glycoprotein V-like	PROTEIN_CODING	NW_019220091.1	
111319597	LOC111319597	WD repeat-containing protein 41-like	PROTEIN_CODING	NW_019220098.1	
111319603	LOC111319603	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019217802.1	
111319615	LOC111319615	receptor-type tyrosine-protein phosphatase F-like	PROTEIN_CODING	NW_019220132.1	
111319618	LOC111319618	asparagine synthetase [glutamine-hydrolyzing] 1-like	PROTEIN_CODING	NW_019220136.1	
111319619	LOC111319619	lipopolysaccharide core biosynthesis glycosyltransferase LpsE-like	PROTEIN_CODING	NW_019220136.1	
111319621	LOC111319621	probable G-protein coupled receptor 19	PROTEIN_CODING	NW_019220142.1	
111319623	LOC111319623	uncharacterized LOC111319623	PROTEIN_CODING	NW_019217802.1	
111319627	LOC111319627	probable serine/threonine-protein kinase DDB_G0281745	PROTEIN_CODING	NW_019220152.1	
111319638	LOC111319638	DNA polymerase III subunit gamma-like	PROTEIN_CODING	NW_019220181.1	
111319640	LOC111319640	fibroblast growth factor 2-like	PROTEIN_CODING	NW_019217802.1	
111319643	LOC111319643	recombination protein RecR-like	PROTEIN_CODING	NW_019220181.1	
111319645	LOC111319645	fibropellin-1-like	PROTEIN_CODING	NW_019220187.1	
111319659	LOC111319659	macrophage mannose receptor 1-like	PROTEIN_CODING	NW_019220213.1	
111319666	LOC111319666	8-amino-7-oxononanoate synthase-like	PROTEIN_CODING	NW_019220228.1	
111319670	LOC111319670	DNA polymerase I-like	PROTEIN_CODING	NW_019220229.1	
111319682	LOC111319682	polycystic kidney disease protein 1-like 2	PROTEIN_CODING	NW_019220255.1	
111319695	LOC111319695	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019220269.1	
111319698	LOC111319698	lys-63-specific deubiquitinase BRCC36-like	PROTEIN_CODING	NW_019220270.1	
111319702	LOC111319702	DNA-binding protein SMUBP-2-like	PROTEIN_CODING	NW_019220277.1	
111319707	LOC111319707	putative ATP-dependent RNA helicase DHX30	PROTEIN_CODING	NW_019220286.1	
111319709	LOC111319709	AP-2 complex subunit alpha-2-like	PROTEIN_CODING	NW_019220290.1	
111319713	LOC111319713	tigger transposable element-derived protein 6-like	PROTEIN_CODING	NW_019220295.1	
111319736	LOC111319736	adhesive plaque matrix protein 2-like	PROTEIN_CODING	NW_019220345.1	
111319738	LOC111319738	fibroblast growth factor receptor 1-like	PROTEIN_CODING	NW_019220348.1	
111319740	LOC111319740	uncharacterized LOC111319740	PROTEIN_CODING	NW_019220351.1	
111319743	LOC111319743	uncharacterized LOC111319743	PROTEIN_CODING	NW_019217802.1	
111319748	LOC111319748	scavenger receptor cysteine-rich domain superfamily protein-like	PROTEIN_CODING	NW_019220360.1	
111319759	LOC111319759	AP-3 complex subunit beta-2-like	PROTEIN_CODING	NW_019220377.1	
111319760	LOC111319760	threonine synthase-like 1	PROTEIN_CODING	NW_019220379.1	
111319763	LOC111319763	serine/threonine-protein kinase rio2-like	PROTEIN_CODING	NW_019217784.1	
111319776	LOC111319776	DNA-directed RNA polymerase II subunit RPB9-like	PROTEIN_CODING	NW_019217802.1	
111319777	LOC111319777	fibropellin-3-like	PROTEIN_CODING	NW_019220403.1	
111319785	LOC111319785	DNA topoisomerase 4 subunit B-like	PROTEIN_CODING	NW_019220414.1	
111319791	LOC111319791	protein phosphatase 1 regulatory subunit 12C-like	PROTEIN_CODING	NW_019220424.1	
111319796	LOC111319796	exostosin-2-like	PROTEIN_CODING	NW_019220431.1	
111319800	LOC111319800	uncharacterized LOC111319800	PROTEIN_CODING	NW_019217802.1	
111319810	LOC111319810	UDP-N-acetylmuramoylalanine--D-glutamate ligase-like	PROTEIN_CODING	NW_019220452.1	
111319819	LOC111319819	ammonium transporter 1 member 3-like	PROTEIN_CODING	NW_019220466.1	
111319832	LOC111319832	peptide methionine sulfoxide reductase MsrB-like	PROTEIN_CODING	NW_019220484.1	
111319834	LOC111319834	bifunctional ligase/repressor BirA-like	PROTEIN_CODING	NW_019220484.1	
111319836	LOC111319836	signal recognition particle 19 kDa protein-like	PROTEIN_CODING	NW_019220485.1	
111319837	LOC111319837	fumarylacetoacetase-like	PROTEIN_CODING	NW_019220487.1	
111319838	LOC111319838	growth arrest-specific protein 8-like	PROTEIN_CODING	NW_019220488.1	
111319842	LOC111319842	flagellar biosynthetic protein FliP-like	PROTEIN_CODING	NW_019220491.1	
111319845	LOC111319845	UPF0053 inner membrane protein YfjD-like	PROTEIN_CODING	NW_019220495.1	
111319849	LOC111319849	uncharacterized ABC transporter ATP-binding protein R00382-like	PROTEIN_CODING	NW_019220496.1	
111319850	LOC111319850	RNA polymerase sigma-54 factor-like	PROTEIN_CODING	NW_019220496.1	
111319862	LOC111319862	WD and tetratricopeptide repeats protein 1-like	PROTEIN_CODING	NW_019220516.1	
111319865	LOC111319865	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019220518.1	
111319868	LOC111319868	succinyl-diaminopimelate desuccinylase-like	PROTEIN_CODING	NW_019220521.1	
111319903	LOC111319903	E3 ubiquitin-protein ligase TRIM33-like	PROTEIN_CODING	NW_019220567.1	
111319904	LOC111319904	glycogenin-1-like	PROTEIN_CODING	NW_019220570.1	
111319908	LOC111319908	glutamate--cysteine ligase B, chloroplastic-like	PROTEIN_CODING	NW_019220579.1	
111319909	LOC111319909	phosphate acyltransferase-like	PROTEIN_CODING	NW_019220579.1	
111319910	LOC111319910	NAD kinase-like	PROTEIN_CODING	NW_019220579.1	
111319914	LOC111319914	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex-like	PROTEIN_CODING	NW_019220586.1	
111319916	LOC111319916	serine/threonine-protein kinase Chk2-like	PROTEIN_CODING	NW_019217803.1	
111319924	LOC111319924	queuine tRNA-ribosyltransferase-like	PROTEIN_CODING	NW_019220608.1	
111319930	LOC111319930	triosephosphate isomerase-like	PROTEIN_CODING	NW_019220615.1	
111319931	LOC111319931	protein-export membrane protein SecG-like	PROTEIN_CODING	NW_019220615.1	
111319932	LOC111319932	CTP synthase-like	PROTEIN_CODING	NW_019220615.1	
111319939	LOC111319939	myotrophin-like	PROTEIN_CODING	NW_019217803.1	
111319947	LOC111319947	RING finger protein nhl-1-like	PROTEIN_CODING	NW_019220636.1	
111319967	LOC111319967	inorganic pyrophosphatase-like	PROTEIN_CODING	NW_019220677.1	
111319975	LOC111319975	DNA dC->dU-editing enzyme APOBEC-3H-like	PROTEIN_CODING	NW_019220684.1	
111319983	LOC111319983	zinc finger CCHC-type and RNA-binding motif-containing protein 1-like	PROTEIN_CODING	NW_019220688.1	
111319984	LOC111319984	pre-mRNA-splicing factor ISY1 homolog	PROTEIN_CODING	NW_019220689.1	
111319987	LOC111319987	exodeoxyribonuclease III-like	PROTEIN_CODING	NW_019220706.1	
111319988	LOC111319988	hemolysin C-like	PROTEIN_CODING	NW_019220707.1	
111319995	LOC111319995	adhesion G protein-coupled receptor E3-like	PROTEIN_CODING	NW_019220715.1	
111319997	LOC111319997	proto-oncogene tyrosine-protein kinase receptor Ret-like	PROTEIN_CODING	NW_019220717.1	
111320002	LOC111320002	glucose-6-phosphate isomerase-like	PROTEIN_CODING	NW_019220726.1	
111320003	LOC111320003	DNA mismatch repair protein MutL-like	PROTEIN_CODING	NW_019220726.1	
111320007	LOC111320007	FAD-dependent urate hydroxylase-like	PROTEIN_CODING	NW_019220728.1	
111320014	LOC111320014	uncharacterized LOC111320014	PROTEIN_CODING	NW_019217803.1	
111320015	LOC111320015	ribosomal RNA large subunit methyltransferase H-like	PROTEIN_CODING	NW_019220745.1	
111320020	LOC111320020	uncharacterized protein RT0044-like	PROTEIN_CODING	NW_019220772.1	
111320040	LOC111320040	DNA polymerase III subunit epsilon-like	PROTEIN_CODING	NW_019220802.1	
111320041	LOC111320041	membrane-bound lytic murein transglycosylase A-like	PROTEIN_CODING	NW_019220802.1	
111320043	LOC111320043	trigger factor-like	PROTEIN_CODING	NW_019220818.1	
111320046	LOC111320046	flagellar basal-body rod protein FlgG-like	PROTEIN_CODING	NW_019220825.1	
111320047	LOC111320047	flagellar L-ring protein-like	PROTEIN_CODING	NW_019220825.1	
111320056	LOC111320056	porphobilinogen deaminase-like	PROTEIN_CODING	NW_019220835.1	
111320065	LOC111320065	ribosome maturation factor RimP-like	PROTEIN_CODING	NW_019220860.1	
111320066	LOC111320066	transcription termination/antitermination protein NusA-like	PROTEIN_CODING	NW_019220860.1	
111320068	LOC111320068	U1 small nuclear ribonucleoprotein 70 kDa-like	PROTEIN_CODING	NW_019217803.1	
111320069	LOC111320069	50S ribosomal protein L9-like	PROTEIN_CODING	NW_019220864.1	
111320070	LOC111320070	30S ribosomal protein S6-like	PROTEIN_CODING	NW_019220864.1	
111320073	LOC111320073	Down syndrome cell adhesion molecule-like protein 1 homolog	PROTEIN_CODING	NW_019220876.1	
111320077	LOC111320077	CUB and peptidase domain-containing protein 1-like	PROTEIN_CODING	NW_019220884.1	
111320104	LOC111320104	octaprenyl diphosphate synthase-like	PROTEIN_CODING	NW_019220940.1	
111320110	LOC111320110	metalloprotease TldD homolog	PROTEIN_CODING	NW_019220946.1	
111320118	LOC111320118	cation-efflux pump FieF-like	PROTEIN_CODING	NW_019220967.1	
111320119	LOC111320119	5-aminolevulinate synthase-like	PROTEIN_CODING	NW_019220967.1	
111320120	LOC111320120	glutathione synthetase-like	PROTEIN_CODING	NW_019220968.1	
111320124	LOC111320124	wee1-like protein kinase 2	PROTEIN_CODING	NW_019220973.1	
111320140	LOC111320140	octopamine receptor beta-2R-like	PROTEIN_CODING	NW_019221024.1	
111320142	LOC111320142	RING finger protein 151-like	PROTEIN_CODING	NW_019217803.1	
111320143	LOC111320143	ADP,ATP carrier protein 1-like	PROTEIN_CODING	NW_019221033.1	
111320146	LOC111320146	uncharacterized transporter HI_0895-like	PROTEIN_CODING	NW_019221039.1	
111320148	LOC111320148	molybdopterin molybdenumtransferase-like	PROTEIN_CODING	NW_019221048.1	
111320151	LOC111320151	AMP nucleosidase-like	PROTEIN_CODING	NW_019221056.1	
111320165	LOC111320165	farnesyl diphosphate synthase-like	PROTEIN_CODING	NW_019221099.1	
111320182	LOC111320182	calreticulin-like	PROTEIN_CODING	NW_019221140.1	
111320189	LOC111320189	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase-like	PROTEIN_CODING	NW_019221152.1	
111320191	LOC111320191	uridine kinase-like	PROTEIN_CODING	NW_019221157.1	
111320194	LOC111320194	tricorn protease homolog 1-like	PROTEIN_CODING	NW_019221161.1	
111320198	LOC111320198	ATP-dependent 6-phosphofructokinase 1-like	PROTEIN_CODING	NW_019221182.1	
111320203	LOC111320203	tRNA-specific 2-thiouridylase MnmA-like	PROTEIN_CODING	NW_019221190.1	
111320206	LOC111320206	probable cytosol aminopeptidase	PROTEIN_CODING	NW_019221196.1	
111320218	LOC111320218	uncharacterized ABC transporter ATP-binding protein HI_1051-like	PROTEIN_CODING	NW_019221230.1	
111320219	LOC111320219	transcriptional repressor NrdR-like	PROTEIN_CODING	NW_019221234.1	
111320226	LOC111320226	ribosomal RNA small subunit methyltransferase B-like	PROTEIN_CODING	NW_019221263.1	
111320227	LOC111320227	ribosomal RNA large subunit methyltransferase E-like	PROTEIN_CODING	NW_019221263.1	
111320228	LOC111320228	sterol regulatory element-binding protein cleavage-activating protein-like	PROTEIN_CODING	NW_019221264.1	
111320239	LOC111320239	RING finger protein nhl-1-like	PROTEIN_CODING	NW_019221314.1	
111320241	LOC111320241	biopolymer transport protein ExbD-like	PROTEIN_CODING	NW_019221324.1	
111320257	LOC111320257	dihydrolipoyl dehydrogenase-like	PROTEIN_CODING	NW_019221354.1	
111320258	LOC111320258	thymidylate kinase-like	PROTEIN_CODING	NW_019221358.1	
111320260	LOC111320260	formamidopyrimidine-DNA glycosylase-like	PROTEIN_CODING	NW_019221366.1	
111320261	LOC111320261	biotin transporter BioY2-like	PROTEIN_CODING	NW_019221368.1	
111320262	LOC111320262	electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial-like	PROTEIN_CODING	NW_019221369.1	
111320264	LOC111320264	fibropellin-3-like	PROTEIN_CODING	NW_019221382.1	
111320270	LOC111320270	fibropellin-3-like	PROTEIN_CODING	NW_019221408.1	
111320273	LOC111320273	NADH-cytochrome b5 reductase 3-like	PROTEIN_CODING	NW_019217803.1	
111320275	LOC111320275	beta-hexosaminidase-like	PROTEIN_CODING	NW_019221427.1	
111320276	LOC111320276	chaperone protein HscA homolog	PROTEIN_CODING	NW_019221428.1	
111320282	LOC111320282	leucine dehydrogenase-like	PROTEIN_CODING	NW_019221462.1	
111320283	LOC111320283	histamine H2 receptor-like	PROTEIN_CODING	NW_019221463.1	
111320287	LOC111320287	manganese transport system membrane protein MntC-like	PROTEIN_CODING	NW_019221472.1	
111320293	LOC111320293	DNA mismatch repair protein MutS-like	PROTEIN_CODING	NW_019221502.1	
111320294	LOC111320294	zinc import ATP-binding protein ZnuC-like	PROTEIN_CODING	NW_019221504.1	
111320301	LOC111320301	2,3-bisphosphoglycerate-independent phosphoglycerate mutase-like	PROTEIN_CODING	NW_019221528.1	
111320308	LOC111320308	triosephosphate isomerase-like	PROTEIN_CODING	NW_019221557.1	
111320315	LOC111320315	uncharacterized transporter HI_0895-like	PROTEIN_CODING	NW_019221611.1	
111320316	LOC111320316	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase-like	PROTEIN_CODING	NW_019221616.1	
111320318	LOC111320318	flagellar biosynthetic protein FliR-like	PROTEIN_CODING	NW_019221673.1	
111320328	LOC111320328	peptidoglycan D,D-transpeptidase MrdA-like	PROTEIN_CODING	NW_019221700.1	
111320329	LOC111320329	folate synthesis bifunctional protein-like	PROTEIN_CODING	NW_019221707.1	
111320330	LOC111320330	ssrA-binding protein-like	PROTEIN_CODING	NW_019221708.1	
111320338	LOC111320338	polyribonucleotide nucleotidyltransferase-like	PROTEIN_CODING	NW_019221743.1	
111320340	LOC111320340	uncharacterized HTH-type transcriptional regulator YafC-like	PROTEIN_CODING	NW_019221745.1	
111320341	LOC111320341	50S ribosomal protein L25-like	PROTEIN_CODING	NW_019221747.1	
111320342	LOC111320342	tyrosyl-DNA phosphodiesterase 1-like	PROTEIN_CODING	NW_019221750.1	
111320347	LOC111320347	adenosine receptor A3-like	PROTEIN_CODING	NW_019221782.1	
111320369	LOC111320369	DNA topoisomerase 1-like	PROTEIN_CODING	NW_019221904.1	
111320375	LOC111320375	electron transfer flavoprotein subunit beta-like	PROTEIN_CODING	NW_019221938.1	
111320387	LOC111320387	50S ribosomal protein L11-like	PROTEIN_CODING	NW_019222059.1	
111320389	LOC111320389	fibroblast growth factor receptor 1-like	PROTEIN_CODING	NW_019222075.1	
111320395	LOC111320395	tRNA-specific adenosine deaminase-like	PROTEIN_CODING	NW_019222093.1	
111320396	LOC111320396	melatonin-related receptor-like	PROTEIN_CODING	NW_019222104.1	
111320401	LOC111320401	ribonuclease Y-like	PROTEIN_CODING	NW_019222122.1	
111320404	LOC111320404	neuropeptide FF receptor 1-like	PROTEIN_CODING	NW_019222136.1	
111320405	LOC111320405	uracil-DNA glycosylase-like	PROTEIN_CODING	NW_019222140.1	
111320407	LOC111320407	tyrosine-protein kinase receptor Tie-1-like	PROTEIN_CODING	NW_019222158.1	
111320419	LOC111320419	dITP/XTP pyrophosphatase-like	PROTEIN_CODING	NW_019222239.1	
111320421	LOC111320421	D-alanine--D-alanine ligase-like	PROTEIN_CODING	NW_019222263.1	
111320423	LOC111320423	probable ABC transporter permease protein slr1045	PROTEIN_CODING	NW_019222264.1	
111320426	LOC111320426	beta-hexosaminidase-like	PROTEIN_CODING	NW_019222277.1	
111320433	LOC111320433	bifunctional protein FolD 1-like	PROTEIN_CODING	NW_019222317.1	
111320440	LOC111320440	potassium voltage-gated channel subfamily A member 1-like	PROTEIN_CODING	NW_019217803.1	
111320447	LOC111320447	LOG family protein YvdD-like	PROTEIN_CODING	NW_019222426.1	
111320449	LOC111320449	adenine DNA glycosylase-like	PROTEIN_CODING	NW_019222440.1	
111320456	LOC111320456	leukotoxin translocation ATP-binding protein LktB-like	PROTEIN_CODING	NW_019222513.1	
111320460	LOC111320460	UDP-3-O-acylglucosamine N-acyltransferase-like	PROTEIN_CODING	NW_019222536.1	
111320463	LOC111320463	lipid-A-disaccharide synthase-like	PROTEIN_CODING	NW_019222624.1	
111320469	LOC111320469	riboflavin biosynthesis protein RibBA-like	PROTEIN_CODING	NW_019222655.1	
111320473	LOC111320473	protein PetR-like	PROTEIN_CODING	NW_019222679.1	
111320475	LOC111320475	NAD-dependent L-serine dehydrogenase-like	PROTEIN_CODING	NW_019222688.1	
111320485	LOC111320485	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2-like	PROTEIN_CODING	NW_019222809.1	
111320498	LOC111320498	sulfotransferase 1C2-like	PROTEIN_CODING	NW_019222985.1	
111320499	LOC111320499	katanin p60 ATPase-containing subunit A1-like	PROTEIN_CODING	NW_019222996.1	
111320501	LOC111320501	histidine--tRNA ligase-like	PROTEIN_CODING	NW_019223010.1	
111320502	LOC111320502	transcription elongation factor GreA-like	PROTEIN_CODING	NW_019223011.1	
111320516	LOC111320516	peptide deformylase 1-like	PROTEIN_CODING	NW_019223092.1	
111320530	LOC111320530	probable peptidoglycan D,D-transpeptidase FtsI	PROTEIN_CODING	NW_019223289.1	
111320533	LOC111320533	glycine--tRNA ligase beta subunit-like	PROTEIN_CODING	NW_019223322.1	
111320548	LOC111320548	extracellular calcium-sensing receptor-like	PROTEIN_CODING	NW_019217784.1	
111320549	LOC111320549	cysteine--tRNA ligase, cytoplasmic-like	PROTEIN_CODING	NW_019217803.1	
111320550	LOC111320550	mitochondrial import receptor subunit TOM22 homolog	PROTEIN_CODING	NW_019217803.1	
111320560	LOC111320560	carboxy-terminal kinesin 2-like	PROTEIN_CODING	NW_019217803.1	
111320603	LOC111320603	neuropeptide FF receptor 2-like	PROTEIN_CODING	NW_019217784.1	
111320621	LOC111320621	dynein assembly factor 4, axonemal-like	PROTEIN_CODING	NW_019217784.1	
111320636	LOC111320636	dihydropyrimidine dehydrogenase [NADP(+)]-like	PROTEIN_CODING	NW_019217804.1	
111320638	LOC111320638	transient receptor potential cation channel subfamily V member 3-like	PROTEIN_CODING	NW_019217804.1	
111320652	LOC111320652	probable ATP-dependent RNA helicase DDX56	PROTEIN_CODING	NW_019217804.1	
111320673	LOC111320673	28S ribosomal protein S18b, mitochondrial-like	PROTEIN_CODING	NW_019217804.1	
111320682	LOC111320682	mucin-2-like	PROTEIN_CODING	NW_019217804.1	
111320692	LOC111320692	COUP transcription factor 2-like	PROTEIN_CODING	NW_019217784.1	
111320698	LOC111320698	rap1 GTPase-activating protein 2-like	PROTEIN_CODING	NW_019217805.1	
111320704	LOC111320704	potassium voltage-gated channel subfamily A member 2-like	PROTEIN_CODING	NW_019217805.1	
111320705	LOC111320705	transcriptional coactivator YAP1-A-like	PROTEIN_CODING	NW_019217805.1	
111320714	LOC111320714	prefoldin subunit 2-like	PROTEIN_CODING	NW_019217805.1	
111320717	LOC111320717	sodium/potassium-transporting ATPase subunit beta-1-like	PROTEIN_CODING	NW_019217805.1	
111320718	LOC111320718	upstream stimulatory factor 1-like	PROTEIN_CODING	NW_019217805.1	
111320736	LOC111320736	uncharacterized protein C7orf43 homolog	PROTEIN_CODING	NW_019217805.1	
111320743	LOC111320743	uncharacterized LOC111320743	PROTEIN_CODING	NW_019217805.1	
111320744	LOC111320744	uncharacterized LOC111320744	PROTEIN_CODING	NW_019217805.1	
111320749	LOC111320749	basic phospholipase A2-like	PROTEIN_CODING	NW_019217805.1	
111320751	LOC111320751	collagen alpha-1(I) chain-like	PROTEIN_CODING	NW_019217805.1	
111320756	LOC111320756	FERM, RhoGEF and pleckstrin domain-containing protein 1-like	PROTEIN_CODING	NW_019217805.1	
111320767	LOC111320767	COP9 signalosome complex subunit 6-like	PROTEIN_CODING	NW_019217805.1	
111320776	LOC111320776	anaphase-promoting complex subunit 2-like	PROTEIN_CODING	NW_019217785.1	
111320783	LOC111320783	uncharacterized LOC111320783	PROTEIN_CODING	NW_019217805.1	
111320790	LOC111320790	FERM domain-containing protein 5-like	PROTEIN_CODING	NW_019217805.1	
111320792	LOC111320792	acid-sensing ion channel 4-like	PROTEIN_CODING	NW_019217805.1	
111320804	LOC111320804	activin receptor type-2A-like	PROTEIN_CODING	NW_019217806.1	
111320806	LOC111320806	cyclin-dependent kinase 2-like	PROTEIN_CODING	NW_019217806.1	
111320811	LOC111320811	glycine receptor subunit alpha-1-like	PROTEIN_CODING	NW_019217806.1	
111320824	LOC111320824	TGF-beta receptor type-2-like	PROTEIN_CODING	NW_019217806.1	
111320835	LOC111320835	heterochromatin protein 1-like	PROTEIN_CODING	NW_019217806.1	
111320836	LOC111320836	U4/U6 small nuclear ribonucleoprotein Prp4-like	PROTEIN_CODING	NW_019217785.1	
111320839	LOC111320839	uncharacterized LOC111320839	PROTEIN_CODING	NW_019217806.1	
111320841	LOC111320841	aspartyl aminopeptidase-like	PROTEIN_CODING	NW_019217806.1	
111320847	LOC111320847	kynurenine formamidase-like	PROTEIN_CODING	NW_019217806.1	
111320849	LOC111320849	SID1 transmembrane family member 2-like	PROTEIN_CODING	NW_019217806.1	
111320856	LOC111320856	WD repeat-containing protein 37-like	PROTEIN_CODING	NW_019217806.1	
111320859	LOC111320859	synaptotagmin-1-like	PROTEIN_CODING	NW_019217806.1	
111320864	LOC111320864	E3 ubiquitin-protein ligase MARCH11-like	PROTEIN_CODING	NW_019217806.1	
111320887	LOC111320887	G kinase-anchoring protein 1-like	PROTEIN_CODING	NW_019217785.1	
111320890	LOC111320890	uncharacterized LOC111320890	PROTEIN_CODING	NW_019217806.1	
111320895	LOC111320895	glycerophosphodiester phosphodiesterase GDPD6-like	PROTEIN_CODING	NW_019217807.1	
111320901	LOC111320901	phosphatidylinositol phosphatase PTPRQ-like	PROTEIN_CODING	NW_019217807.1	
111320912	LOC111320912	hexokinase-1-like	PROTEIN_CODING	NW_019217807.1	
111320913	LOC111320913	stress-70 protein, mitochondrial-like	PROTEIN_CODING	NW_019217807.1	
111320920	LOC111320920	tyramine receptor 1-like	PROTEIN_CODING	NW_019217807.1	
111320921	LOC111320921	histamine H2 receptor-like	PROTEIN_CODING	NW_019217807.1	
111320923	LOC111320923	octopamine receptor 1-like	PROTEIN_CODING	NW_019217807.1	
111320925	LOC111320925	D(3) dopamine receptor-like	PROTEIN_CODING	NW_019217807.1	
111320944	LOC111320944	adenosine receptor A2b-like	PROTEIN_CODING	NW_019217807.1	
111320953	LOC111320953	proton-coupled folate transporter-like	PROTEIN_CODING	NW_019217807.1	
111320960	LOC111320960	histamine H2 receptor-like	PROTEIN_CODING	NW_019217807.1	
111320963	LOC111320963	glutathione-specific gamma-glutamylcyclotransferase 1-like	PROTEIN_CODING	NW_019217807.1	
111320965	LOC111320965	DNA repair protein RAD51 homolog 2-like	PROTEIN_CODING	NW_019217807.1	
111320966	LOC111320966	uncharacterized LOC111320966	PROTEIN_CODING	NW_019217807.1	
111320968	LOC111320968	methionine synthase reductase-like	PROTEIN_CODING	NW_019217807.1	
111320972	LOC111320972	melanocyte-stimulating hormone receptor-like	PROTEIN_CODING	NW_019217807.1	
111320981	LOC111320981	3-oxo-5-alpha-steroid 4-dehydrogenase 1-like	PROTEIN_CODING	NW_019217807.1	
111320985	LOC111320985	melanocortin receptor 3-like	PROTEIN_CODING	NW_019217807.1	
111320986	LOC111320986	melanocyte-stimulating hormone receptor-like	PROTEIN_CODING	NW_019217807.1	
111320991	LOC111320991	sideroflexin-5-like	PROTEIN_CODING	NW_019217807.1	
111321001	LOC111321001	dermatan-sulfate epimerase-like protein	PROTEIN_CODING	NW_019217808.1	
111321009	LOC111321009	thyroxine 5-deiodinase-like	PROTEIN_CODING	NW_019217808.1	
111321013	LOC111321013	28S ribosomal protein S17, mitochondrial-like	PROTEIN_CODING	NW_019217808.1	
111321021	LOC111321021	octopamine receptor-like	PROTEIN_CODING	NW_019217808.1	
111321036	LOC111321036	vacuolar protein sorting-associated protein 35-like	PROTEIN_CODING	NW_019217808.1	
111321038	LOC111321038	lon protease homolog 2, peroxisomal-like	PROTEIN_CODING	NW_019217808.1	
111321049	LOC111321049	adenosine receptor A2b-like	PROTEIN_CODING	NW_019217808.1	
111321052	LOC111321052	60S ribosomal protein L13-like	PROTEIN_CODING	NW_019217808.1	
