Annotated Gene List: 325 Differentially Expressed Genes in Stylophora pistillata,,,,,,
Key:,,,,,,
HF (Positive LFC): Upregulated in High-Fluorescence Planulae.,,,,,,
NF (Negative LFC): Upregulated in Non-Fluorescent Planulae.,,,,,,
"References: Specific citations used for validation. ""Inferred from Protein Family"" denotes genes where the coral-specific function is derived from conserved domain analysis.",,,,,,
,,,,,,
#,Gene Symbol,Description,LFC (Exp),Category,Biological Function & Explanation,Reference
197,LOC111327414,major facilitator superfamily domain-containing protein 12-like,+1.69 (HF),Transport,Membrane transporter.,Pao et al. (1998) (MFS transporters)
198,LOC111339122,homeobox protein BarH-like 2,+2.30 (HF),Development,Homeobox transcription factor.,Higashijima et al. (1992) (BarH function)
199,LOC111321680,fibrillin-2-like,+2.12 (HF),Structural,ECM microfibrils.,Drake et al. (2013)
200,LOC111339304,echinoderm microtubule-associated protein-like 6,-1.15 (NF),Cytoskeleton,Microtubule binding.,Suprenant et al. (2000) (EMAP function)
201,LOC111322068,uncharacterized LOC111322068,+2.03 (HF),Unknown,Function unknown.,N/A
202,LOC111344634,growth arrest-specific protein 1-like,+1.89 (HF),Signaling,Hedgehog signaling antagonist?,Martinelli & Fan (2007) (GAS1 in Hedgehog)
203,LOC111321593,atrial natriuretic peptide receptor 1-like,+1.54 (HF),Signaling,Guanylate cyclase receptor; fluid/ion balance?,Potter et al. (2006) (Natriuretic peptide receptors)
204,LOC111323777,uncharacterized LOC111323777,+1.82 (HF),Unknown,Function unknown.,N/A
205,LOC111346320,long-chain-fatty-acid--CoA ligase 1-like,+1.32 (HF),Lipid,Fatty acid activation (metabolism).,Soupene & Kuypers (2008)
206,LOC111336425,beta-galactosidase-like,+2.75 (HF),Metabolism,Carbohydrate metabolism.,UniProt Family (GLB1)
207,LOC111336930,monocarboxylate transporter 10-like,-1.23 (NF),Metabolism,Lactate/Pyruvate transport.,Levy et al. (2021)
208,LOC111333893,uncharacterized LOC111333893,+2.88 (HF),Unknown,Function unknown.,N/A
209,LOC111327210,glutamine synthetase-like,+1.24 (HF),Symbiosis,Nitrogen assimilation/recycling.,Levy et al. (2021)
210,LOC111334796,uncharacterized LOC111334796,+1.68 (HF),Unknown,Function unknown.,N/A
211,LOC111343966,agrin-like,+1.82 (HF),Nervous System,Neuromuscular junction formation (synaptic basal lamina).,Bezakova & Ruegg (2003) (Agrin function)
212,LOC111332747,CUB and sushi domain-containing protein 3-like,+1.80 (HF),Signaling,Adhesion/Signaling.,Mass et al. (2013)
213,LOC111330854,uncharacterized LOC111330854,+1.81 (HF),Unknown,Function unknown.,N/A
214,LOC111346591,uncharacterized LOC111346591,+2.17 (HF),Unknown,Function unknown.,N/A
215,LOC111338573,E3 ubiquitin-protein ligase TRIM71-like,-2.04 (NF),Protein Reg,Ubiquitination/degradation; stem cell maintenance (lin-41).,Rybak et al. (2009) (TRIM71/Lin41 function)
216,LOC111344195,chromosome alignment-maintaining phosphoprotein 1-like,-1.06 (NF),Cell Cycle,Mitosis; kinetochore function.,Itoh et al. (2009) (CAMP function)
217,LOC111322871,uncharacterized LOC111322871,-1.11 (NF),Unknown,Function unknown.,N/A
218,LOC111331303,cytosolic phospholipase A2-like,-1.11 (NF),Lipid/Signal,Arachidonic acid release; inflammation/immunity.,Leslie (2015) (cPLA2 function)
219,LOC111340617,cartilage intermediate layer protein 2-like,+2.45 (HF),Structural,ECM protein; cartilage-like?,Lorenzo et al. (1998) (CILP function)
220,LOC111327248,major facilitator superfamily domain-containing protein 12-like,+1.32 (HF),Transport,Membrane transporter.,Pao et al. (1998)
221,LOC111337259,monocarboxylate transporter 13-like,+1.63 (HF),Metabolism,Lactate/Pyruvate transport.,Levy et al. (2021)
222,LOC111323636,complement C3-like,+3.77 (HF),Immunity,Innate immunity.,Levy et al. (2021)
223,LOC111325560,gamma-glutamyl hydrolase-like,+1.20 (HF),Metabolism,Folate metabolism.,Levy et al. (2021)
224,LOC111331279,gastric intrinsic factor-like,+1.75 (HF),Metabolism,Vitamin B12 absorption (Cobalamin binding).,Alpers & Russell-Jones (2013) (Intrinsic factor)
225,LOC111338692,uncharacterized LOC111338692,+2.31 (HF),Unknown,Function unknown.,N/A
226,LOC111326544,proprotein convertase subtilisin/kexin type 4-like,+3.67 (HF),Metabolism,Proprotein processing (PCSK4 often reproductive).,Mbikay et al. (1997) (PCSK4 function)
227,LOC111330113,E3 ubiquitin-protein ligase RGLG5-like,-1.76 (NF),Protein Reg,Ubiquitination.,Inferred from Protein Family
228,LOC111335732,uncharacterized LOC111335732,+1.13 (HF),Unknown,Function unknown.,N/A
229,LOC111331825,uncharacterized LOC111331825,-1.14 (NF),Unknown,Function unknown.,N/A
230,LOC111340872,gastric triacylglycerol lipase-like,+1.39 (HF),Lipid,Fat digestion/breakdown.,Carriere et al. (1994) (Gastric lipase)
231,LOC111321178,vitellogenin-like,+1.27 (HF),Energy / Lipid,Yolk protein; high maternal investment.,Levy et al. (2021)
232,LOC111320938,mRNA decay activator protein ZFP36L1-like,+1.34 (HF),Gene Reg,RNA stability/decay.,Baou et al. (2009) (ZFP36 family function)
233,LOC111339822,alpha-2A adrenergic receptor-like,-1.05 (NF),Signaling,GPCR; neurotransmitter receptor.,Hein (2006) (Adrenergic receptors)
234,LOC111345906,uncharacterized LOC111345906,+3.28 (HF),Unknown,Function unknown.,N/A
235,LOC111341777,basement membrane-specific heparan sulfate proteoglycan core protein-like,+1.82 (HF),Structural,Perlecan? Basement membrane structure.,Murdoch et al. (1992) (Perlecan)
236,LOC111346592,MAM and LDL-receptor class A domain-containing protein 1-like,+2.38 (HF),Signaling,Receptor; signaling or endocytosis.,Mass et al. (2013)
237,LOC111328588,uncharacterized LOC111328588,+1.42 (HF),Unknown,Function unknown.,N/A
238,LOC111322261,gamma-interferon-inducible lysosomal thiol reductase-like,+1.88 (HF),Immunity,Antigen processing (GILT).,Arunachalam et al. (2000)
239,LOC111331219,dynein heavy chain domain-containing protein 1-like,-1.13 (NF),Cilia,Ciliary function/transport.,Inferred from Protein Family
240,LOC111322256,uncharacterized LOC111322256,+1.55 (HF),Unknown,Function unknown.,N/A
241,LOC111328517,ras-associated and pleckstrin homology domains-containing protein 1-like,+1.16 (HF),Signaling,Ras signaling; cytoskeletal organization (LRIF1?).,Inferred from Protein Family
242,LOC111322597,D-amino-acid oxidase-like,-1.16 (NF),Metabolism,Oxidizes D-amino acids; produces H2O2.,Pollegioni et al. (2007) (DAAO function)
243,LOC111321894,gelsolin-like protein 2,+1.16 (HF),Cytoskeleton,Actin filament severing/capping.,McGough et al. (2003) (Gelsolin family)
244,LOC111324532,trace amine-associated receptor 7h-like,+2.45 (HF),Signaling,GPCR; sensory receptor?,Berry (2004) (TAAR function)
245,LOC111332887,cytochrome P450 1A1-like,-1.64 (NF),Detoxification,Xenobiotic metabolism / Drug metabolism.,Goldstone et al. (2006) (CYP function)
246,LOC111322209,uncharacterized LOC111322209,+1.38 (HF),Unknown,Function unknown.,N/A
247,LOC111336589,uncharacterized LOC111336589,+2.38 (HF),Unknown,Function unknown.,N/A
248,LOC111323093,selenoprotein Pb-like,+1.76 (HF),Stress,Selenoprotein; antioxidant defense?,Labunskyy et al. (2014) (Selenoproteins)
249,LOC111334900,multidrug resistance protein 1-like,+2.11 (HF),Transport,ABC transporter; efflux of toxins/xenobiotics.,Higgins (2007) (MDR1/ABC transporters)
250,LOC111342546,uncharacterized LOC111342546,+2.65 (HF),Unknown,Function unknown.,N/A
251,LOC111330251,sodium-coupled monocarboxylate transporter 1-like,+1.51 (HF),Metabolism,Lactate/Pyruvate/Butyrate transport.,Ganapathy et al. (2008) (SMCT1 function)
252,LOC111322526,putative histone-lysine N-methyltransferase PRDM6,+2.50 (HF),Gene Reg,Epigenetics.,Davis et al. (2006)
253,LOC111324945,stromelysin-1-like,+2.23 (HF),ECM Remodeling,MMP3; degrades ECM components.,Nagase et al. (2006) (MMPs review)
254,LOC111322678,uncharacterized LOC111322678,+1.07 (HF),Unknown,Function unknown.,N/A
255,LOC111338776,pancreas/duodenum homeobox protein 1-like,+2.19 (HF),Development,Pdx1; endoderm patterning (in bilateria).,Jonsson et al. (1994) (Pdx1 function)
256,LOC111341825,cytochrome b-245 heavy chain-like,-1.35 (NF),Stress/Immunity,NADPH oxidase component; generates superoxide (ROS) for immune defense?,Babior (1999) (NADPH oxidase)
257,LOC111325851,paired box protein Pax-3-B-like,-1.03 (NF),Development,Pax transcription factor; development.,Buckingham & Relaix (2007) (Pax3 function)
258,LOC111340840,organic cation transporter protein-like,+3.00 (HF),Transport,"Transport of organic cations (drugs, toxins, endogenous compounds).",Koepsell et al. (2007) (OCT function)
259,LOC111332138,uncharacterized LOC111332138,+2.02 (HF),Unknown,Function unknown.,N/A
260,LOC111321502,endothelin-converting enzyme homolog,+1.69 (HF),Metabolism,Protease.,Turner & Tanzawa (1997)
261,LOC111340901,growth factor receptor-bound protein 14-like,+1.18 (HF),Signaling,Insulin signaling adapter (Grb14).,Holt & Siddle (2005) (Grb14 function)
262,LOC111321403,calumenin-like,+1.15 (HF),Calcification,Calcium-binding protein (CREC family); Ca2+ homeostasis in ER.,Levy et al. (2021)
263,LOC111325220,uncharacterized LOC111325220,+1.39 (HF),Unknown,Function unknown.,N/A
264,LOC111327570,uncharacterized LOC111327570,+1.64 (HF),Unknown,Function unknown.,N/A
265,LOC111333012,carbonic anhydrase 2-like,+1.06 (HF),Calcification,Bicarbonate formation for skeleton.,Bertucci et al. (2011)
266,LOC111327223,uncharacterized LOC111327223,-2.09 (NF),Unknown,Function unknown.,N/A
267,LOC111328589,agrin-like,+1.76 (HF),Nervous System,Synaptic basal lamina.,Bezakova & Ruegg (2003)
268,LOC111339268,keratin-associated protein 10-6-like,+2.74 (HF),Structural,"Cytoskeleton/Structure? (Keratins usually absent in Cnidaria, likely intermediate filament).",Inferred from Protein Family
269,LOC111331301,zinc finger protein ZIC 2-like,+2.80 (HF),Development,Neural crest/Neural plate development (bilateria).,Aruga (2004) (Zic family function)
270,LOC111328207,prothrombin-like,+1.76 (HF),Immunity/Blood,Coagulation homolog.,Davie et al. (1991) (Prothrombin)
271,LOC111336722,spondin-2-like,-1.00 (NF),Immunity,Pattern recognition receptor; ECM protein (Mindin).,He et al. (2004) (Spondin-2 immunity)
272,LOC111328120,hephaestin-like protein,+1.43 (HF),Iron Metabolism,Copper-dependent ferroxidase; iron efflux (with ferroportin).,Palmer et al. (2009)
273,LOC111343451,proprotein convertase subtilisin/kexin type 5-like,+2.19 (HF),Metabolism,Proprotein processing.,Mbikay et al. (1997)
274,LOC111329699,mucin-2-like,+2.76 (HF),Immunity/Stress,Mucus production.,Levy et al. (2021)
275,LOC111334113,TNF receptor-associated factor 3-like,+1.53 (HF),Immunity,TRAF3; signaling adapter for TNF receptors (Immunity/Apoptosis).,Hacker et al. (2011) (TRAF3 function)
276,LOC111333695,cathepsin B-like,+1.18 (HF),Metabolism,Lysosomal protease.,Mort & Buttle (1997) (Cathepsin B)
277,LOC111334761,protein white-like,+2.20 (HF),Transport,ABC transporter (pigment transport in insects).,Ewart et al. (1994) (White protein function)
278,LOC111334472,zonadhesin-like,+2.36 (HF),Adhesion,Cell adhesion (often sperm-egg in bilateria).,Hardy & Garbers (1995) (Zonadhesin)
279,LOC111337898,uncharacterized LOC111337898,+1.15 (HF),Unknown,Function unknown.,N/A
280,LOC111337168,di-N-acetylchitobiase-like,+1.26 (HF),Metabolism,Chitin degradation? (Glycan processing).,Aronson et al. (1989) (Chitobiase)
281,LOC111326942,protein CREG1-like,+1.22 (HF),Development,Cellular repressor of E1A-stimulated genes; growth regulation.,Veal et al. (2000) (CREG function)
282,LOC111326058,plasma membrane calcium-transporting ATPase 2-like,-1.21 (NF),Calcification,PMCA; pumps Calcium out of cytosol (or into calcifying space).,Levy et al. (2021) (Calicoblasts)
283,LOC111321028,uncharacterized LOC111321028,+1.97 (HF),Unknown,Function unknown.,N/A
284,LOC111320728,tumor necrosis factor receptor superfamily member 10C-like,+2.99 (HF),Immunity/Death,Decoy receptor for TRAIL; inhibits apoptosis?,Ashkenazi & Dixit (1998) (Death receptors)
285,LOC111342215,uncharacterized LOC111342215,-1.33 (NF),Unknown,Function unknown.,N/A
286,LOC111344752,dipeptidyl peptidase 1-like,+2.54 (HF),Metabolism,Cathepsin C; activation of serine proteases.,Turk et al. (2001) (Cathepsin C)
287,LOC111333767,transcriptional activator GLI3-like,+1.47 (HF),Development,Hedgehog signaling effector.,Ruiz i Altaba (1999) (Gli proteins)
288,LOC111333580,alkaline phosphatase-like,+1.60 (HF),Calcification,Often associated with calcification (phosphate metabolism).,Drake et al. (2013)
289,LOC111336999,tumor protein p53-inducible nuclear protein 1-like,+1.05 (HF),Stress,Oxidative stress response (TP53INP1).,Tomasini et al. (2005) (TP53INP1 function)
290,LOC111335313,uncharacterized LOC111335313,-2.59 (NF),Unknown,Function unknown.,N/A
291,LOC111323922,uncharacterized LOC111323922,+1.85 (HF),Unknown,Function unknown.,N/A
292,LOC111319813,cuticle collagen 2C-like,+1.61 (HF),Structural,Collagen-like structural protein.,Drake et al. (2013)
293,LOC111336488,uncharacterized LOC111336488,+1.81 (HF),Unknown,Function unknown.,N/A
294,LOC111341830,very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2-like,+2.00 (HF),Lipid,Fatty acid elongation.,Jakobsson et al. (2006) (Fatty acid synthesis)
295,LOC111323127,phospholipid phosphatase 1-like,+1.56 (HF),Lipid,Lipid signaling; dephosphorylation of lipid substrates.,Sciorra & Morris (2002) (LPP function)
296,LOC111324497,uncharacterized LOC111324497,+1.57 (HF),Unknown,Function unknown.,N/A
297,LOC111321308,A disintegrin and metalloproteinase with thrombospondin motifs 2-like,+1.29 (HF),ECM Remodeling,ADAMTS2; procollagen processing.,Colige et al. (1997) (ADAMTS2)
298,LOC111330075,uncharacterized LOC111330075,+2.56 (HF),Unknown,Function unknown.,N/A
299,LOC111338568,uncharacterized LOC111338568,-1.13 (NF),Unknown,Function unknown.,N/A
300,LOC111343646,bone morphogenetic protein 7-like,+1.38 (HF),Development,BMP signaling; skeletal development.,Zoccola et al. (2009)
301,LOC111337462,uncharacterized LOC111337462,+1.81 (HF),Unknown,Function unknown.,N/A
302,LOC111320921,histamine H2 receptor-like,+2.27 (HF),Signaling,GPCR; neurotransmission or immunomodulation.,Hill et al. (1997) (Histamine receptors)
303,LOC111332090,probable RNA-dependent RNA polymerase 1,+1.96 (HF),Immunity/Viral,Antiviral defense? (RNA silencing).,Ahlquist (2002) (RdRP function)
304,LOC111329754,soma ferritin-like,+2.90 (HF),Stress,Iron sequestration; antioxidant.,Palmer et al. (2009)
305,LOC111344472,T-box transcription factor TBX10-like,+1.92 (HF),Development,Transcription factor.,Papaioannou (2001) (T-box genes)
306,LOC111321463,arylsulfatase J-like,+2.29 (HF),Metabolism,Sulfatase; degradation of sulfated proteoglycans (ECM).,Hanson et al. (2004) (Sulfatases)
307,LOC111325968,unconventional myosin-X-like,+1.01 (HF),Cytoskeleton,Myosin; filopodia formation.,Berg et al. (2000) (Myosin X)
308,LOC111341532,mucin-2-like,+2.50 (HF),Immunity/Stress,Mucus production.,Levy et al. (2021)
309,LOC111322259,coactosin-like protein,+1.09 (HF),Cytoskeleton,Actin filament binding.,Provost et al. (2001) (Coactosin)
310,LOC111331858,Down syndrome cell adhesion molecule-like protein 1 homolog,-1.04 (NF),Adhesion,DSCAM; neuronal adhesion/self-avoidance.,Schmucker et al. (2000) (DSCAM function)
311,LOC111324999,uncharacterized LOC111324999,+2.48 (HF),Unknown,Function unknown.,N/A
312,LOC111340596,mucin-like protein,+1.43 (HF),Immunity/Stress,Mucus production.,Levy et al. (2021)
313,LOC111329016,lysosomal alpha-mannosidase-like,+1.02 (HF),Metabolism,Glycoprotein degradation.,Moremen (2002) (Mannosidases)
314,LOC111322853,junctophilin-3-like,+1.71 (HF),Signaling,Calcium signaling (ER-plasma membrane contact).,Takeshima et al. (2000) (Junctophilins)
315,LOC111320928,max dimerization protein 1-like,+1.07 (HF),Cell Cycle,Transcription regulator (Myc/Max/Mad network).,Grandori et al. (2000) (Myc/Max network)
316,LOC111339082,uncharacterized LOC111339082,+1.58 (HF),Unknown,Function unknown.,N/A
317,LOC111330877,signal transducing adapter molecule 2-like,-1.44 (NF),Signaling,Endosomal sorting (ESCRT complex); signaling.,Endo et al. (2000) (STAM2)
318,LOC111327558,uncharacterized LOC111327558,-1.05 (NF),Unknown,Function unknown.,N/A
319,LOC111330961,calretinin-like,+1.23 (HF),Nervous System,Calcium-binding protein; neuronal marker.,Rogers (1987) (Calretinin)
320,LOC111324308,uncharacterized LOC111324308,+1.86 (HF),Unknown,Function unknown.,N/A
321,LOC111325880,uncharacterized LOC111325880,+1.69 (HF),Unknown,Function unknown.,N/A
322,LOC111338912,uncharacterized LOC111338912,+2.24 (HF),Unknown,Function unknown.,N/A
323,LOC111338848,uncharacterized LOC111338848,+2.20 (HF),Unknown,Function unknown.,N/A
324,LOC111331736,proto-oncogene c-Fos-like,+1.73 (HF),Gene Reg,Transcription factor (AP-1 complex); immediate early gene (response to stimuli).,Curran & Franza (1988) (Fos/Jun function)
325,LOC111340622,hemicentin-1-like,+2.28 (HF),Structural,ECM protein.,Vogel & Hedgecock (2001)
