Category,Sub-Category,Morph,Gene Symbol,Description,LFC,Biological Function & Explanation,Reference
Structural,ECM,HF,LOC111340617,cartilage intermediate layer protein 2-like,2.45,ECM protein.,Lorenzo et al. (1998)
Structural,ECM,HF,LOC111333735,hemicentin-1-like,2.4,ECM protein.,Vogel & Hedgecock (2001)
Structural,ECM,HF,LOC111340622,hemicentin-1-like,2.28,ECM protein.,Vogel & Hedgecock (2001)
Structural,ECM,HF,LOC111321680,fibrillin-2-like,2.12,ECM microfibrils.,Drake et al. (2013)
Structural,ECM,HF,LOC111332373,trichohyalin-like,2.11,Structural protein; mechanical strength.,Lee et al. (1993)
Structural,ECM,HF,LOC111327333,fibrillin-1-like,1.95,ECM protein; elasticity.,Drake et al. (2013)
Structural,ECM,HF,LOC111321843,hemicentin-1-like,1.86,ECM protein.,Vogel & Hedgecock (2001)
Structural,ECM,HF,LOC111341777,basement membrane-specific heparan sulfate proteoglycan core protein-like,1.82,Perlecan? Basement membrane.,Murdoch et al. (1992)
Structural,ECM,HF,LOC111327334,fibrillin-3-like,1.62,ECM microfibrils.,Corson et al. (2004)
Structural,ECM,HF,LOC111319813,cuticle collagen 2C-like,1.61,Collagen-like protein.,Drake et al. (2013)
Structural,ECM,HF,LOC111321759,laminin subunit gamma-1-like,1.52,Basement membrane.,Levy et al. (2021)
Symbiosis,Nitrogen,HF,LOC111327210,glutamine synthetase-like,1.24,Nitrogen assimilation.,Levy et al. (2021); Rädecker et al. (2015)
Symbiosis,Transport,HF,LOC111342143,Niemann-Pick C1 protein-like,1.5,Intracellular cholesterol transport.,Levy et al. (2021)
Transport,ABC,HF,LOC111334761,protein white-like,2.2,ABC transporter.,Ewart et al. (1994)
Transport,ABC,HF,LOC111334900,multidrug resistance protein 1-like,2.11,ABC transporter; efflux.,Higgins (2007)
Transport,Amino Acid,HF,LOC111342077,putative sodium-coupled neutral amino acid transporter 7,2.23,Amino acid transport.,Mackenzie & Erickson (2004)
Transport,Channel,HF,LOC111326934,CSC1-like protein ERD4,1.5,Mechanosensitive calcium channel?,Hou et al. (2014)
Transport,Intracellular,HF,LOC111334459,vacuolar protein sorting-associated protein 13D-like,1.92,Protein trafficking.,Velayos-Baeza et al. (2004)
Transport,Intracellular,HF,LOC111327419,late secretory pathway protein AVL9 homolog,1.79,Vesicle transport in secretory pathway.,Harsay & Schekman (2002)
Transport,Intracellular,HF,LOC111340366,sorting nexin-17-like,1.28,Endosomal recycling.,Worby & Dixon (2002)
Transport,Intracellular,HF,LOC111322311,ELKS/Rab6-interacting/CAST family member 1-like,1.27,Vesicle trafficking; presynaptic zone.,Ohtsuka et al. (2002)
Transport,Ion,NF,LOC111336828,solute carrier family 12 member 1-like,-1.02,Ion transporter (Na/K/Cl).,Hebert et al. (2004)
Transport,Membrane,HF,LOC111327414,major facilitator superfamily domain-containing protein 12-like,1.69,Membrane transporter.,Pao et al. (1998)
Transport,Membrane,HF,LOC111327248,major facilitator superfamily domain-containing protein 12-like,1.32,Membrane transporter.,Pao et al. (1998)
Transport,Organic Cation,HF,LOC111340840,organic cation transporter protein-like,3.0,Transport of organic cations.,Koepsell et al. (2007)
